610602
/m/02w8vz
/m/02w8vz
Joseph Conrad
1904
a 9
abilities 1
adamant 1
admitted 1
after 2
all 1
almost 1
also 1
american 1
among 2
an 2
and 14
archaic 1
army 1
as 3
at 1
battista 1
be 3
become 2
believed 2
believes 1
boatswain 1
book 1
bring 2
but 3
by 6
can 1
capataz 1
cargadores 1
chaos 1
charles 2
closely 1
colombia 1
command 1
commanding 1
concession 1
concomitant 1
conrad 1
considered 1
consumed 1
continues 1
corruption 3
costaguana 4
costaguanero 1
could 1
country 2
daring 1
daringly 1
de 1
descent 1
described 1
destruction 1
dictator 1
dictators 1
does 1
employers 1
enemies 1
english 1
entrusted 1
europeans 1
expatriate 1
experienced 1
exploit 1
exploits 1
fame 2
fate 1
father 1
feeling 1
feels 1
fiance 1
fictional 1
fidanza 2
figure 1
finally 1
for 8
from 3
generated 1
geography 1
giovanni 1
gould 4
government 1
great 1
grow 1
had 1
has 6
he 11
head 1
himself 1
his 10
history 1
hoped 1
however 2
important 1
in 8
incorruptible 2
inspires 1
instability 1
instead 2
international 1
into 2
invades 1
is 15
isabel 1
island 1
it 6
italian 4
its 2
keep 1
keeper 1
kept 1
key 1
killed 1
leaders 1
leads 1
life 1
lighthouse 1
limitless 1
local 1
long 1
longshoreman 1
los 1
lost 1
man 1
markets 1
matches 1
meaning 2
mine 1
misrule 1
mistaken 1
montero 1
mountains 1
name 2
nation 1
native 1
near 1
never 1
new 1
no 1
nostro 1
nostromo 9
not 2
nothing 1
of 15
offshore 1
on 1
one 1
or 1
orders 1
others 2
our 1
over 1
own 1
owns 1
part 1
period 1
phrase 1
plunging 1
political 1
population 1
port 1
position 1
power 2
powerful 1
real 1
reallife 1
reason 1
recently 1
recovering 1
refurbished 1
removing 1
resentment 1
respected 1
revolution 1
revolutionaries 2
revolutionary 1
revolutions 1
ribiera 2
rich 1
rides 1
risen 1
risked 1
round 1
saves 1
sea 1
secret 1
seemingly 1
selfproclaimed 1
selfserving 1
set 1
shipmate 1
shot 1
should 1
silver 5
silvermining 1
slighted 1
so 1
society 1
sold 1
south 1
spoil 1
stability 2
sulaco 6
summon 1
support 1
take 1
that 3
the 28
their 1
this 1
though 1
through 1
tired 1
to 11
tool 1
trespasser 1
true 1
trust 1
trusted 1
tyranny 2
ultimate 1
under 1
universe 1
uomo 1
upperclass 1
used 1
useful 1
uses 1
viewed 1
warfare 1
warlords 1
wealth 2
wealthy 1
which 3
who 2
will 1
with 1
years 1
