16995937
/m/0414z1k
/m/0414z1k
Mary Higgins Clark

{"/m/02xlf": "Fiction"}
11 1
21yearold 1
a 5
about 1
again 1
ago 1
allow 1
an 1
and 6
angry 1
annually 1
apartment 2
assure 1
attacks 1
be 1
been 1
break 1
bring 2
brother 1
brutal 1
call 2
calls 1
cannot 1
carolyn 4
charles 1
close 1
closure 1
confrontation 1
connected 1
could 1
danger 1
day 3
deadly 1
death 1
decided 1
declares 1
despite 1
devon 2
didnt 1
disappearance 2
disapproval 1
do 1
does 2
down 1
drama 1
end 1
even 1
father 1
find 1
following 1
for 4
former 1
frantic 1
girls 1
gone 1
hangs 1
has 2
have 2
he 3
health 1
her 9
hide 1
him 2
his 9
home 1
however 1
in 3
intention 1
into 2
is 2
jr 1
know 1
leads 1
leaving 1
life 1
look 1
loved 1
mack 3
mackenzie 3
makes 1
matter 1
me 1
missing 1
monsignor 1
mother 3
move 1
murder 1
must 1
mystery 1
never 1
no 1
not 1
note 1
now 1
of 8
old 1
on 2
ones 1
only 1
or 1
out 1
own 1
past 1
pattern 1
persistence 1
persists 1
plunges 1
possibly 1
purpose 1
questions 2
reactions 1
reading 1
receives 1
regular 1
responsible 1
reveal 1
roommates 1
safety 1
scrap 1
search 1
secret 2
seen 1
she 2
somehow 1
someone 1
superintendents 1
teacher 1
tell 1
ten 2
that 1
the 11
themselves 1
then 1
they 1
this 1
to 9
track 1
truth 1
unanswered 1
uncle 1
unexpected 1
up 1
walked 1
way 1
what 4
when 1
who 1
whose 1
winding 1
with 2
without 1
word 1
world 1
year 1
years 2
