16865147
/m/0408x57
/m/0408x57
Steve Alten
2005-07
{"/m/06n90": "Science Fiction", "/m/07s9rl0": "Drama"}
a 4
aboard 1
academic 1
acrylic 1
actually 1
after 2
ago 1
agrees 1
all 1
allowing 1
american 1
among 1
an 1
and 11
angus 3
apart 1
as 3
at 1
atlantic 2
attacked 1
back 2
before 1
being 1
berserk 1
biological 1
biologist 1
black 1
blamed 1
bloop 1
bloops 1
boat 1
boats 1
branch 1
british 1
brother 1
bubble 2
by 3
closed 1
complicated 1
creatures 1
crews 1
damage 1
david 1
death 1
desperate 1
destruction 1
discover 1
divorced 1
downhill 1
drinks 1
drowning 1
during 1
expedition 1
fact 1
family 1
father 4
finds 1
fired 1
flood 1
florida 2
for 3
friends 2
from 1
full 1
get 1
giant 2
go 2
goes 1
guilty 1
had 1
half 1
hank 2
has 1
he 7
help 1
him 2
his 10
home 1
however 2
in 6
into 1
is 5
killing 1
knights 2
life 1
lives 1
loch 3
marine 1
mercilessly 1
military 1
miraculously 1
monster 1
mother 1
moved 1
murder 2
must 1
mysterious 1
named 1
needed 1
ness 2
nessie 1
nightclubs 1
not 2
number 1
of 8
old 1
on 4
other 1
out 1
passengers 1
picked 1
pilot 3
pops 1
position 1
prepares 1
pushed 1
quickly 1
race 1
reaching 1
reading 1
receives 1
reconnects 1
reputation 1
research 1
returning 1
sadly 1
safety 1
salvage 1
sargasso 1
savings 1
says 1
scotland 1
sea 1
searching 1
secrets 1
seen 1
seventeen 1
severe 1
shores 1
since 1
some 1
sonar 1
soon 1
south 1
spending 1
squid 1
squids 1
states 1
sub 1
submarine 3
suffered 1
surface 1
survived 1
tabloids 1
take 1
templar 1
testifies 1
that 6
the 31
their 2
there 1
this 1
three 1
to 10
torn 1
trial 3
truth 1
unforgiving 1
unidentified 1
united 1
university 2
up 1
victim 1
village 1
visit 1
wallace 4
weeks 1
went 1
when 1
while 1
with 1
witness 1
witnessed 2
word 1
years 1
zachary 6
