4906986
/m/0ctlgx
/m/0ctlgx
John Whitman

a 5
after 2
also 1
an 2
and 2
appearance 1
are 1
attack 1
boba 1
book 1
bounty 1
but 1
by 1
certain 1
children 1
empire 1
encounter 1
fett 1
find 2
for 1
friendly 1
grasp 1
group 1
has 1
his 1
hoole 1
hunter 1
in 4
is 1
landing 1
lesson 1
looking 1
losing 1
makes 1
occasions 1
of 1
on 1
place 1
planet 1
rather 1
ship 1
starving 1
still 1
survivors 1
swamp 1
tash 1
teaching 1
the 3
their 1
them 2
themselves 1
they 2
this 1
tribe 1
valuable 1
various 1
where 2
wont 1
yoda 1
zak 1
