3536096
/m/09k2cv
/m/09k2cv
Dan Cragg

a 12
abilities 1
able 1
about 1
achieved 1
acquitting 1
actions 2
addition 1
admiral 1
again 2
against 1
agree 1
all 2
almost 1
also 1
although 2
amidala 1
an 3
anakin 23
and 15
anyone 1
are 2
arrive 1
arrives 1
as 14
asajj 1
at 3
attack 1
attitudes 1
available 1
avenger 1
awe 1
back 1
badly 1
banking 1
barren 1
battle 1
be 3
because 1
become 1
becoming 1
been 6
before 2
behind 1
being 2
beings 1
blast 2
book 2
both 1
brings 1
brought 1
by 5
called 1
can 2
captain 1
captured 1
celebrating 1
center 1
chose 1
cis 3
clan 1
clear 1
clearly 1
cloaking 1
clone 1
clones 2
close 2
code 1
command 2
commanded 1
commander 1
commanding 1
commando 1
communications 2
completely 1
confesses 1
coruscant 1
council 3
count 1
craft 1
ct13 1
dark 1
darth 1
daughters 1
deals 1
decides 2
defence 1
degree 1
desperate 1
destroy 1
destroys 1
destruction 1
device 1
digressions 1
directly 1
disappears 1
disaster 1
disastrous 1
disregarded 1
disturbances 1
dooku 1
droids 1
during 1
element 2
enabling 1
ends 1
enemy 1
engine 1
erk 1
escape 1
even 1
everyone 1
exceptional 1
explains 1
explosion 1
failed 1
failure 1
feel 1
fighting 1
finally 1
first 1
flagship 1
fleet 2
fly 1
for 4
forbidden 1
force 4
forces 4
forcesensitivity 1
former 1
freedom 1
from 5
frustration 1
general 1
good 1
grand 1
grant 1
group 1
grown 1
had 5
halcycon 1
halcyon 8
harman 1
has 1
have 3
having 2
he 5
hears 1
him 7
himself 4
his 15
horror 1
hostages 3
how 1
however 1
hub 1
humanity 1
humans 1
hundreds 1
hyperdrive 1
icc 1
if 1
immense 1
impatience 1
important 3
in 20
indeed 1
information 1
initially 1
installed 1
instead 1
intergalactic 2
intervention 1
is 9
issues 1
it 2
jedi 8
jinn 1
just 1
killed 1
knighthood 1
later 3
lead 1
leaving 1
lieutenant 1
lives 1
lloxx 1
located 1
lord 1
making 1
marriage 1
master 4
meaning 1
measure 1
midst 1
mission 2
more 1
mother 1
mourning 1
much 4
murdering 1
muun 1
nejaa 3
not 5
nothing 1
objectives 1
occupation 1
odie 1
of 19
officer 1
often 1
omin 1
on 2
once 1
one 1
only 6
opposing 1
order 3
other 1
out 2
outnumbered 1
overbowed 1
overcome 1
overrun 1
own 1
padawan 1
padm 1
path 1
performance 1
perilous 1
perilously 1
personalities 1
planet 1
pors 3
position 1
praesitlyn 5
previously 1
promising 1
put 1
quigon 1
rage 1
rampage 1
reaching 3
reason 1
reconnaissance 1
recover 1
regain 1
reinforce 1
relates 1
relay 1
relied 1
relief 2
relieve 1
reminds 1
reports 1
republic 3
rescue 2
reserve 1
resulting 1
resurrection 1
return 1
returns 1
reveal 1
rogue 1
sacrifice 1
saved 1
saying 1
second 1
see 2
seeming 1
seemingly 1
seen 1
sent 1
separatist 3
sergeant 1
she 1
shocked 1
shoot 1
shows 1
side 1
sidious 1
sith 1
situation 1
skywalker 1
slayke 2
small 1
so 1
son 1
sons 1
splitsecond 1
starfighter 1
stemming 1
stereotyping 1
still 1
subdegree 1
subu 1
such 1
suppressed 1
surprise 1
survivors 1
tale 1
tell 1
telling 1
tells 1
temple 1
than 1
that 3
the 41
their 6
they 1
this 4
those 1
though 3
through 1
time 4
timing 1
to 25
tonith 3
towards 1
transports 1
treading 1
trial 2
troop 1
trooper 1
troops 3
trust 1
trusted 1
trying 1
turn 1
two 1
under 2
understands 1
upon 2
use 1
ventress 1
victory 1
violation 1
voice 1
was 1
we 3
well 4
where 1
which 1
while 1
wife 1
wingmate 1
wishes 1
with 10
within 2
woman 1
would 2
yet 1
yoda 1
