2931171
/m/08dfs2
/m/08dfs2
Ivan Yefremov

10 1
184 1
200 1
26 1
3000 1
34 1
a 13
about 2
accompanied 1
actual 1
added 1
against 1
age 1
alien 1
all 1
also 4
always 1
am 1
amalgamation 1
an 3
and 17
andromeda 1
antichinese 1
antiuniverse 1
appears 1
arcturus 1
are 4
artists 1
as 4
aspect 1
available 1
backward 1
based 1
be 3
because 1
before 1
behavioural 1
beings 1
between 1
book 1
born 1
borrowed 1
both 1
boz 1
bull 1
bureaucracy 1
by 6
called 2
capacity 1
capitalism 1
censors 1
cepheus 1
chairman 1
children 1
chinese 2
chineserussian 1
civilization 1
claims 1
class 1
colonized 1
command 1
communist 2
concept 1
constellation 1
constructs 1
contact 1
control 2
council 2
crew 3
daemon 1
dark 1
david 1
deep 1
defender 1
departs 1
deriving 1
developed 1
device 2
dictator 1
dictionary 1
direct 1
discoid 1
distant 1
dji 2
do 1
earth 5
earthians 1
edge 1
efremov 2
engineers 1
epigraph 1
escapees 1
esp 1
establish 1
eventually 1
every 1
example 1
examples 1
expedition 1
experiment 1
explore 1
fasterthanlight 1
fay 1
female 1
flame 1
follows 1
for 7
forces 1
form 1
found 1
four 3
free 1
freely 1
freighter 1
from 5
full 2
future 2
gang 1
gardens 2
get 1
given 1
government 1
habitable 1
has 1
have 1
he 1
historian 1
hour 2
humans 1
in 8
including 1
infernal 1
inferno 1
influence 2
information 4
innerparty 1
is 5
it 2
its 5
just 1
kind 1
kji 3
labelled 1
leader 2
lifespans 1
lilac 1
limited 1
lindsay 1
live 1
lives 3
living 1
local 1
longer 1
longliving 1
lynx 1
maintaining 1
mao 1
member 1
members 1
memoryeraser 1
mental 1
mission 1
models 1
modifier 1
most 1
name 2
nascent 1
natural 2
nature 1
nebula 1
new 1
ninelegged 1
novel 4
obvious 1
of 33
old 1
on 4
only 1
or 3
ordinary 1
orwell 1
other 1
our 1
out 1
part 1
past 2
people 2
philosophical 1
phrase 1
planet 7
plot 1
police 1
predominantly 1
present 1
professionals 1
prototypical 1
provide 1
providing 1
pseudosocialism 1
qualified 1
quote 1
quoting 1
reading 1
relating 1
ren 1
reported 1
represented 1
resistance 1
robot 1
rodis 2
ruler 1
ruling 1
ruthless 1
sacrificing 1
sake 1
same 1
scientists 1
sdf 1
second 1
seemingly 1
selected 1
selective 1
sentient 1
sentiment 1
separate 2
servant 1
shakti 1
ship 1
shocking 1
short 1
shortliving 1
similar 1
sinosoviet 1
situation 1
skills 1
sliding 1
snakecarriers 1
social 2
society 3
solar 1
some 3
somewhat 1
sort 1
space 2
spies 1
split 1
sportspeople 1
starships 1
straightbeam 1
strata 1
strong 1
supreme 1
system 2
systems 1
tamas 1
technology 1
than 1
that 3
the 57
their 3
they 2
things 1
thinking 1
this 2
thought 1
through 1
throughout 1
time 1
to 13
tormance 1
total 1
totalitarian 1
towards 1
travel 2
true 2
turn 1
ultimately 1
under 2
unification 1
universe 1
up 1
use 1
used 1
using 1
views 1
voyage 1
voyagers 1
was 4
way 1
were 1
which 4
while 1
with 2
without 1
workers 1
world 1
worst 1
written 1
years 3
zedong 1
zoam 1
