174471
/m/017kkg
/m/017kkg
Ludovico Ariosto
1516
3 1
a 5
accuses 1
action 1
adventures 1
africa 2
against 1
agramante 4
alcina 1
allies 1
also 2
ancestors 1
and 17
angelica 5
another 1
appears 1
are 1
ariosto 1
as 1
astolfo 1
at 4
atlante 1
author 1
avenge 1
avoid 1
back 1
background 1
bavarian 1
be 2
been 1
beginning 1
being 1
besiege 1
between 2
boastful 1
bottle 1
bradamante 3
brandimart 1
brings 1
brunello 1
by 1
canto 1
captive 1
castle 1
cathay 1
cause 1
characters 1
chariot 1
charlemagne 3
christian 2
christianity 1
combat 1
contains 1
converts 1
cousin 1
cure 1
death 1
despair 1
destroying 1
does 1
duke 1
duty 1
earth 1
elijah 1
elopes 1
emperor 2
enchantments 1
ends 1
endure 1
english 1
epic 1
escapes 1
este 1
ethiopia 1
europe 2
everything 2
explains 1
falls 2
famous 1
father 2
feast 1
female 1
fight 2
finally 1
find 1
flaming 1
flies 1
for 2
forget 1
form 1
foster 1
found 1
freed 1
from 2
furioso 1
genealogy 1
gives 1
goes 1
gradasso 1
has 4
have 1
he 5
her 1
heroine 1
him 4
hippogriff 1
his 6
house 1
important 1
in 9
include 1
including 2
insanity 1
invaded 1
involves 1
is 4
isabella 1
island 2
itself 1
joins 1
journeys 1
kills 1
king 3
knight 2
lampedusa 1
learns 1
length 1
less 1
lost 1
love 6
mad 1
madness 1
magic 1
makes 1
many 2
marries 1
marsilio 1
meanwhile 1
medoro 1
meet 1
moon 1
most 1
namo 1
no 1
not 1
of 15
off 1
oliver 1
on 3
orlando 11
other 1
out 1
pagan 1
paladin 2
paris 1
path 1
patrons 1
place 1
plotline 1
poem 3
princess 1
protect 1
pursuit 1
rampages 1
restoring 1
rinaldo 1
rodomonte 3
ruggiero 5
same 1
sanity 1
saracen 4
saves 1
sets 1
single 1
slaying 1
sniff 1
sobrino 1
sorceress 1
spain 1
taken 1
takes 1
tempted 1
that 1
the 38
them 2
there 1
they 1
thief 1
through 2
thus 1
time 1
to 16
too 1
tragic 1
traiano 1
traitor 1
truth 1
two 1
until 1
up 1
various 1
vicissitudes 1
want 1
war 1
warrior 2
wedding 1
when 1
where 1
who 4
whose 1
with 7
wits 1
wizard 1
wounded 1
