3358984
/m/097l2x
/m/097l2x
Henry James
1875-11-20
a 21
about 2
accepted 1
accommodation 1
across 1
act 1
admires 1
admits 4
adored 1
advance 1
advise 1
affectation 1
afraid 1
after 4
against 1
aging 1
agreement 1
all 4
allow 2
alone 1
along 1
also 1
although 2
ambitious 1
american 1
an 5
and 30
annoyed 1
another 2
any 1
approval 1
art 3
artist 1
artistic 2
arts 1
artwork 1
as 7
asked 2
asks 1
at 3
atlantic 1
attempting 2
attempts 1
attended 1
attracted 1
augusta 1
away 1
bachelor 1
back 1
badenbaden 1
be 5
beautiful 1
beauty 1
because 3
been 2
before 3
begins 1
begs 2
being 1
believes 1
betrothed 1
bind 1
blanchard 2
bluntness 1
body 1
bostonian 1
bring 1
building 1
bust 2
but 5
by 5
came 1
can 1
catch 1
cavaliere 2
cecilia 3
chances 1
changing 1
character 1
charming 1
cheaper 1
checking 1
christina 17
closer 1
colisseum 1
come 1
comes 1
community 1
companion 1
complete 1
completing 1
connoisseur 1
consummating 1
continent 1
contribute 1
counsel 1
cousin 2
cover 1
crippled 1
crushed 1
cultivating 1
day 3
dead 1
death 1
debts 2
decides 4
declare 1
departure 1
desire 1
determined 1
didnt 1
dies 1
disapproval 1
distant 1
disturbed 1
does 2
doesnt 1
doing 2
done 1
doubts 1
during 1
elaboratelydevised 1
emotional 1
encounters 1
engaged 1
england 1
enters 1
entreats 1
eschews 1
escort 1
europe 2
eventually 2
ever 1
expatriate 1
exposed 1
extraordinary 1
fails 1
fake 1
fall 1
fallen 1
falling 1
family 2
farewell 1
fateful 1
father 1
fears 1
feeling 1
feelings 2
felt 1
figure 1
finally 3
find 1
finds 2
first 1
flirtation 1
florence 2
flourish 1
flower 1
for 11
foreclose 1
forever 1
fortune 1
found 1
friend 1
friends 2
from 5
fully 1
future 1
galvanized 1
gambling 1
garland 11
general 1
generosity 1
gentleman 1
germany 1
give 1
gloriani 1
goes 1
going 1
gone 1
goodhumor 1
grandoni 2
grecian 1
grown 1
had 2
happens 1
harbors 1
has 12
he 25
hears 1
her 14
highly 1
him 12
himself 4
himselfsees 1
his 24
honesty 1
hope 1
hopes 1
however 2
hudson 5
hudsons 2
i 2
if 1
illmannered 1
imminent 1
impoverished 1
improving 1
in 17
incurred 1
infatuated 1
influences 1
inform 1
ingratiating 1
injury 1
instantly 1
instead 1
interlaken 2
into 3
introduced 1
introduces 1
is 15
isnt 1
it 1
italian 1
italy 3
join 2
just 2
kind 1
knowing 1
lack 1
later 5
latter 1
law 1
leading 1
leave 1
leavenworth 2
leaving 2
left 1
letter 1
life 1
light 1
lights 1
like 2
likes 1
listens 1
little 1
living 2
local 1
love 5
loved 1
loves 1
madame 1
make 1
mallet 15
malletwho 1
many 1
married 1
marry 5
marrying 1
mary 3
massachusetts 3
mature 1
may 1
me 1
meanwhile 1
meet 2
meeting 1
meets 1
men 1
might 1
miss 9
money 3
morale 1
most 1
mother 10
move 2
moving 2
mr 2
mrs 5
natural 2
next 2
no 1
nonetheless 1
northampton 2
not 4
note 1
observe 1
obtaining 1
of 16
offer 1
offers 1
on 6
one 2
only 1
opportunity 1
or 1
original 1
outofreach 1
over 1
overcoming 1
owes 1
own 1
part 1
party 1
persuades 1
peruse 1
picnic 1
played 1
pleased 1
poor 1
possibility 1
prematurely 1
prevent 1
prince 5
professes 1
protect 1
protective 1
put 1
question 1
realizes 1
reassure 1
received 1
relationship 2
remarkable 1
replies 1
reputation 1
reserve 1
return 2
revealing 1
reveals 1
ridiculous 1
roderick 30
rome 3
rough 1
rowland 16
sam 2
save 1
saves 1
saying 2
says 4
sculpt 1
sculptor 1
sculpts 1
sculpture 2
seems 1
sees 1
she 15
sightseeing 1
simplicity 1
situation 2
so 4
some 2
something 2
spare 1
start 1
startlingly 1
still 1
stolen 1
storm 1
student 1
studio 1
stupefied 1
subsequently 1
such 1
suggests 1
sum 1
suppress 1
switzerland 2
takes 1
talent 3
talks 1
tantrums 1
tell 1
tells 1
tended 1
that 11
the 40
them 2
then 5
there 4
thereby 1
they 3
thinks 2
this 1
throws 1
time 2
titled 1
to 63
travels 1
trick 1
turn 1
turns 1
two 3
unable 1
unexpectedly 1
uninvited 1
up 4
upon 3
urges 2
visit 2
visits 3
vituperative 1
voyage 1
walk 2
want 1
wants 1
way 2
wealthy 2
well 1
when 4
where 1
which 2
while 4
who 2
will 5
with 15
without 1
witness 1
woman 3
womanto 1
women 1
work 2
works 1
worldweary 1
wrenchingemotional 1
writes 2
years 2
yet 2
you 1
young 3
