27361318
/m/0cc5x2m
/m/0cc5x2m
Elizabeth Winthrop
1985-08

a 20
ability 1
about 1
accepts 1
actions 1
after 2
again 1
alastor 10
all 2
also 1
an 3
and 25
apparition 1
apple 2
as 5
at 2
attic 1
away 2
be 3
become 1
been 1
before 1
believes 1
both 1
boy 1
breaking 1
but 3
by 2
calendar 2
can 3
castle 8
cause 1
comes 1
cowers 1
decides 1
defeat 2
defeated 3
defeating 1
defeats 1
depression 1
desperate 1
dick 2
disappears 1
do 1
doing 1
down 1
dragon 3
drop 1
encounters 1
enter 2
enters 2
evil 1
exact 1
exiting 1
faces 1
falls 1
family 1
fears 1
fool 2
for 3
forest 2
forever 1
friends 1
from 5
gallery 1
get 2
gets 1
getting 1
given 1
going 1
gratitude 1
guarding 1
guards 1
hailed 1
half 2
has 5
having 1
he 14
her 4
hero 1
hiding 1
him 10
his 13
horror 1
horse 1
housekeeper 1
how 1
however 2
in 7
inside 1
instead 1
into 4
is 7
it 6
its 1
join 1
just 1
keeping 1
kingdom 2
knight 3
knocks 1
knowing 1
lack 1
lady 1
last 1
lead 5
learning 1
learns 1
leave 1
leaves 2
left 1
legend 2
life 1
lose 1
lost 1
magic 1
magical 1
make 1
man 4
manages 1
many 2
mirror 2
mistake 1
model 1
moment 1
moonlight 1
mrs 7
named 1
necklace 2
needs 1
new 1
not 1
nurse 1
ocean 1
of 10
old 4
olden 1
on 3
one 1
other 2
own 2
path 1
philips 7
place 1
planning 1
pretext 1
quest 1
realistic 1
really 1
reflects 1
regain 1
rest 1
return 3
returns 1
reveals 3
reverts 1
revives 1
right 1
rightful 1
ruler 2
ruling 1
said 1
secret 1
seeking 1
send 1
sent 1
she 2
shows 1
shrink 2
shrunk 1
silver 2
simon 12
sir 12
size 1
sizes 1
so 2
son 1
specific 1
spell 2
spells 1
spend 1
spent 1
squire 2
states 1
stole 1
stop 2
stories 1
taking 1
tells 2
tempted 1
that 11
the 40
their 1
then 1
there 1
threat 1
through 2
thus 1
time 2
times 1
to 24
token 5
tokens 1
tolliver 1
training 1
traveling 1
tree 1
true 1
turn 1
turned 2
turns 1
two 1
under 2
undertaken 1
undo 1
until 1
up 1
uses 2
victims 2
warned 1
was 2
week 1
what 1
when 2
while 1
who 4
will 4
william 19
willingly 1
with 7
wizard 2
work 1
world 1
years 1
you 1
young 2
