963826
/m/03tv_9
/m/03tv_9
Stanisław Lem
1971
a 9
account 1
agent 1
all 1
an 1
and 5
as 1
attempt 1
bathtub 2
bowels 1
bureaucratic 1
by 1
chaos 1
complex 1
conducting 1
confusion 1
danger 1
day 1
days 1
deep 1
deeply 1
destroy 1
details 1
diary 2
directives 1
distant 2
dystopia 1
else 1
events 1
everyone 2
few 1
firsthand 1
follow 1
found 3
from 3
future 2
given 1
his 3
horrifying 1
hour 1
in 6
incite 1
inform 1
inhabits 1
insanity 1
investigation 1
is 6
it 2
kafkaesque 1
keeping 1
life 1
losing 1
maelstrom 1
man 1
memoirs 2
military 1
mind 1
mission 1
must 1
n 3
narrator 1
neogene 2
notes 2
nothing 1
nth 2
of 6
on 1
only 1
onthespot 1
out 1
over 1
paranoid 1
past 1
protagonist 1
rendezvous 1
rule 1
search 1
sector 1
seems 2
set 1
society 1
starts 1
subsector 1
subterranean 1
suspicious 1
terrifying 1
that 1
the 10
this 4
title 1
to 2
trapped 1
ultimately 1
underground 1
utter 1
vast 1
verify 1
voice 1
where 1
which 1
with 1
within 1
