4389255
/m/0b_n9k
/m/0b_n9k
Robert Forward
1980
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
02nbspseconds 1
061354 1
064848 1
075824 1
10 1
1000 1
1000nbspbc 1
111603 1
14 1
144401 1
164524 1
20 5
2020nbspce 1
2025 1
2032 2
204 1
2050 11
21 2
22 3
221230 1
223010 1
250nbspastronomical 1
3000 1
3000nbspbc 1
40nbspminutes 1
50 1
67nbspbillion 2
7000nbspkg 1
a 29
about 10
accommodate 1
adult 1
adults 1
advanced 1
after 2
aged 1
ago 2
agriculture 2
alignright 1
allow 1
almost 2
although 2
among 1
an 4
ancestors 1
and 21
animals 2
anomalies 1
apparently 1
appear 2
appears 1
arduous 1
are 8
area 1
arena 3
around 2
article 1
as 7
astronomers 2
astronomy 1
atoms 1
attempts 1
band 2
bc 2
became 1
because 1
become 1
becomes 1
becoming 1
before 1
begins 1
beings 1
between 1
both 3
bound 2
brings 1
build 2
building 1
but 3
by 4
calculate 1
call 1
called 1
can 2
carry 1
cause 1
causes 1
centimeter 1
challenging 1
cheela 28
cheelas 1
chemical 1
chemistry 1
civilization 2
clan 7
classwikitable 1
clearly 1
clues 1
come 1
communicate 1
communication 1
complex 1
compounds 1
compressed 2
compresses 1
concentration 1
conclude 1
conquering 1
constellation 1
constructed 1
contains 1
continues 1
control 1
conversations 1
cool 1
cools 1
course 2
craft 1
created 2
creatures 2
crew 1
crust 1
cubic 1
dangerous 1
day 1
decided 1
depends 1
desperate 1
detect 1
develop 3
development 1
develops 1
diagrams 1
diameter 2
digital 1
directly 1
distant 1
draco 1
dragon 5
each 1
earliest 1
earth 5
egg 5
electromagnetic 1
emerges 2
engineer 1
enough 2
equivalent 1
evolves 1
expedition 4
experiments 1
explore 1
explosion 1
extreme 2
eyes 2
facetoface 1
facilities 1
far 1
faster 2
fear 1
feature 1
fertile 1
few 3
field 1
fields 1
final 1
find 1
first 8
flattened 2
flexion 1
food 3
for 4
foraging 1
force 2
forces 1
from 6
frustrating 1
g 1
gender 1
generations 5
genius 1
god 1
going 1
good 1
gradually 1
gravity 5
great 1
group 1
grumbling 1
half 3
have 2
heights 1
her 2
high 2
history 1
hominina 1
homo 1
hours 1
however 3
human 6
humanity 1
humans 13
impossible 1
impossibly 1
in 15
including 2
ineffective 1
inhabit 1
instinctive 1
intelligent 2
into 1
invention 2
invents 3
iron 1
is 6
it 3
its 7
jets 1
journey 1
june 8
laser 1
later 5
leads 1
leave 1
library 1
life 3
lifetime 1
light 1
lightyears 1
lineage 1
lineages 1
live 1
living 1
locations 1
long 2
longest 1
lopsided 1
magnetic 1
mainly 1
making 1
manipulation 2
many 2
marginleft2px 1
margintop5px 1
mass 2
mathematics 2
matter 1
may 3
measure 1
members 1
message 2
messages 2
million 3
minute 1
molecules 1
more 2
most 1
mountain 1
movements 1
mutations 1
nbsp 1
need 1
neutron 2
neutrons 1
new 3
no 1
notice 1
novel 1
november 1
now 2
nuclei 2
number 1
of 32
oldest 1
on 5
one 5
onenbspmillion 1
only 2
or 1
orbital 1
organisms 3
organized 1
organizes 1
other 1
outer 1
over 1
overcoming 1
passing 1
per 1
pictures 1
plantlike 1
plants 1
plasma 1
pollutes 1
population 1
precisely 1
predator 1
predators 1
predictable 1
process 1
proposes 1
provokes 1
race 1
races 3
radiation 1
range 1
rather 1
reading 1
real 1
realize 2
realized 1
realizes 1
recognize 2
records 1
regular 1
religion 1
religious 1
remnant 1
repetitive 1
rest 1
rowspan2 1
rowspan3 2
safety 1
same 2
sapiens 1
satellites 2
saves 1
sections 1
see 2
seed 1
seedpods 1
selfreplicating 1
selfsacrifice 2
send 5
separate 1
sesame 1
sessile 1
set 1
several 2
shape 1
she 1
shortlived 1
shortly 2
simple 1
since 1
situation 1
sledge 1
slowness 1
soil 1
solar 1
some 1
sources 1
space 1
spacecraft 3
spaceships 1
spans 1
species 1
spindly 1
stable 1
standards 1
star 11
starts 1
stealing 1
still 1
story 1
strong 1
stunt 1
stylefontsize80 1
successful 1
such 1
sun 1
supernova 3
supply 2
surface 1
survival 1
survive 1
tactics 1
techniques 1
technologies 1
territory 3
than 3
that 9
the 63
their 5
them 2
these 3
they 1
this 1
thousands 1
time 1
timeline 1
times 3
to 25
transferring 1
transmission 1
transmit 2
travels 1
turns 1
typical 1
ultraviolet 1
under 1
uninhabited 1
units 1
until 1
use 1
very 1
visits 1
volcano 4
volume 1
wavelengths 1
ways 1
weapon 2
were 1
which 2
while 1
who 1
whole 1
wide 1
width300 1
with 3
within 2
work 1
worship 1
worshippers 1
would 1
writing 2
xray 1
years 2
