2205573
/m/06vtx9
/m/06vtx9
Craig Thomas

a 7
after 1
aircraft 2
americans 1
an 1
and 5
as 3
at 2
attempt 1
attempts 1
back 1
become 1
been 1
before 1
begins 1
between 1
black 1
book 2
brief 1
burgoyne 1
by 1
can 1
captured 1
choose 1
climax 1
codename 1
combat 1
condition 1
cover 1
damage 1
depicts 1
describes 1
desperate 1
destroy 1
did 1
discovering 1
dmitri 1
dogfight 1
down 1
efforts 1
engaged 1
engagement 1
escape 1
expanded 1
feature 1
fictional 1
film 1
finnish 1
firefox 6
first 1
fleeing 1
flyable 1
focuses 1
for 1
forces 1
forcing 1
from 2
frozen 1
fuel 1
gant 7
has 2
his 2
however 1
in 5
is 2
it 5
its 2
kgb 2
lake 3
lands 1
later 1
losing 1
lover 1
mere 1
mig25s 1
mig31 3
minor 1
mitchell 1
moments 1
mount 1
movie 2
must 1
not 1
novel 3
of 3
officer 1
on 2
onto 1
or 1
original 1
predecessor 1
priabin 2
prototype 1
rapidly 1
rather 1
recapture 1
recapturing 1
recover 1
repair 1
return 1
role 2
same 1
saving 1
second 2
sequel 1
silver 1
soviet 5
steal 1
sustained 1
taken 1
text 1
than 1
that 1
the 27
then 1
time 1
to 6
two 1
under 1
union 2
unlike 1
upon 1
was 1
west 1
with 5
woman 1
working 1
