74257
/m/0jv0d
/m/0jv0d
Nick Hornby
1998
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
12yearold 1
13 1
14 1
15yearold 1
36yearold 1
a 16
about 5
action 1
adopted 1
after 2
age 2
albums 1
alistair 1
alone 1
also 1
although 1
an 1
and 12
angie 1
appropriately 1
as 3
at 1
attending 1
bachelor 1
band 1
because 1
blooms 1
book 1
both 1
boy 1
bullied 1
buying 1
by 2
called 1
child 1
christmas 2
clive 1
cobain 2
comes 3
companionship 1
constantly 1
dad 1
discover 1
ellie 1
end 1
ends 1
even 1
father 1
featured 1
female 1
finally 2
fiona 3
fit 1
for 5
freeman 1
friendship 2
from 1
girl 2
girlfriend 1
going 1
group 1
groups 1
grows 1
had 1
has 2
have 1
having 1
he 4
helps 1
her 1
him 3
himself 1
his 5
hit 1
idea 1
in 6
initially 1
insists 1
into 1
introducing 1
introverted 1
invents 1
is 9
it 1
jumper 1
know 1
kurt 2
learns 1
lie 1
lindsey 1
listening 1
live 1
lives 1
london 1
looking 1
lot 1
marcus 10
marry 1
mcrae 1
meanwhile 2
meetings 1
modern 1
moody 1
mother 4
music 1
named 1
ned 1
never 1
new 2
nirvana 2
novel 1
of 5
on 1
one 1
out 2
parents 2
patti 1
pick 1
pleasant 1
progresses 1
purpose 1
rachel 2
reference 1
relationship 2
royalties 1
same 1
santa 1
school 1
set 1
she 1
shell 1
shoes 1
shopping 1
single 4
sleigh 1
smith 1
smoking 1
some 1
somewhat 1
son 2
song 2
spare 1
spends 2
stand 1
started 1
starts 1
story 1
strained 1
striking 1
succeed 1
suicidal 1
super 1
taking 1
temporary 1
thanks 1
that 2
the 12
their 2
therefore 1
these 1
they 1
this 1
through 1
time 2
title 1
to 12
together 1
tough 1
tribute 1
trouble 1
true 1
tv 1
twoyearold 1
up 6
visits 1
wanting 1
watching 1
way 1
wearing 1
which 1
who 4
whose 1
will 9
with 6
women 1
work 1
world 1
