20189491
/m/04y6_89
/m/04y6_89

1982
{"/m/03npn": "Horror"}
112 1
a 2
after 1
amityville 2
and 4
are 3
arrive 1
at 1
attacked 1
ave 1
away 1
awoken 1
barely 1
being 1
but 2
by 1
days 1
deal 1
ending 1
escapes 1
events 1
family 2
few 1
fleeing 1
followed 1
force 1
george 2
get 1
got 1
have 1
her 1
horror 1
house 1
is 1
jodie 1
kathy 3
line 1
lutz 1
missy 1
mother 2
never 1
next 1
not 1
ocean 1
of 1
only 1
over 1
plague 1
playing 1
press 1
published 1
realize 1
safe 1
skeptics 1
soon 1
spot 1
supernatural 2
that 1
the 5
they 6
think 1
to 1
where 1
while 1
with 2
