15184479
/m/03hl6fk
/m/03hl6fk
David Wellington
2007
150 1
a 6
after 1
again 1
against 1
agent 1
almost 1
along 1
and 3
another 1
archeologist 1
are 2
arkeley 2
army 1
as 3
at 1
battlefield 1
be 1
before 1
bodies 1
body 2
but 1
by 2
cache 1
career 1
caxton 2
civil 1
coffin 1
coffins 2
commanders 1
contacts 1
continue 1
corps 1
crippled 1
crypt 1
cure 1
discovers 1
discovery 1
down 2
faced 1
federal 1
field 1
flashbacks 1
for 2
forgotten 1
found 1
from 1
gain 1
gettysburg 2
grounds 1
hand 1
happy 1
having 1
hearts 1
help 1
her 3
his 3
hobbled 1
horrific 1
human 1
hundred 1
hunt 1
immediately 1
imprisoned 1
in 6
infects 1
into 1
investigate 1
is 5
it 1
jameson 1
journals 1
laura 1
letters 1
life 1
local 1
marshal 1
military 1
missing 2
moldering 1
more 1
ninetynine 1
novel 1
of 6
old 1
once 1
one 2
operative 1
outbreak 1
own 1
pennsylvania 1
personal 1
plot 1
police 1
population 1
presses 1
previous 1
promised 1
remains 1
removed 1
reports 1
revealed 1
revived 1
series 1
service 1
smashed 1
soldiers 1
south 1
special 1
state 1
states 1
than 1
that 2
the 18
their 2
there 1
through 1
tide 1
to 5
told 1
tomb 2
trooper 1
turn 1
underground 1
underneath 1
union 1
united 1
upended 1
used 1
uses 1
vampire 4
vampires 3
vampirism 2
warera 1
was 2
were 2
when 1
who 1
with 1
year 1
