5201210
/m/0d7jw0
/m/0d7jw0
Ben Elton

{"/m/014dfn": "Speculative fiction"}
34yearold 1
a 20
about 5
absence 1
activate 1
activist 1
advisor 1
affair 2
after 1
against 1
age 1
alarm 1
alerting 1
allowed 1
allowing 1
also 1
america 2
an 4
anarchist 1
and 26
announces 1
are 2
argue 1
army 1
arrive 1
arrives 1
as 5
assistance 1
at 9
attempt 1
attention 1
attracted 1
be 2
become 1
becoming 2
been 1
beliefs 1
below 1
bitter 1
body 1
booth 1
boring 1
both 1
breach 1
breaks 1
brother 1
brought 2
bursts 1
but 2
by 1
calm 1
camp 1
can 1
candidate 1
cannot 3
captain 1
career 2
chance 1
changes 1
chauvinist 1
come 2
comes 1
complains 1
confrontation 1
consent 1
contacting 1
continues 1
could 2
council 1
countryside 1
court 1
dead 1
death 1
decided 1
decides 1
depth 1
despite 1
details 3
difference 1
divorced 1
during 1
each 2
end 1
ended 1
england 2
escape 1
even 1
everything 1
exactly 1
exclient 1
extremely 1
fact 1
feared 1
feeling 1
feels 1
feminist 1
finds 1
flashbacks 1
for 6
found 2
free 1
frequently 1
from 1
future 1
general 1
had 1
happen 1
happened 1
harass 1
has 7
hate 1
have 4
having 2
he 18
her 23
him 7
himself 1
his 18
history 1
hotel 1
hour 1
hours 2
house 5
how 1
if 1
in 16
influence 1
initially 1
intends 1
intention 1
into 3
investigate 1
involved 1
involvement 2
is 15
jack 17
job 1
just 1
kent 1
kept 1
kill 1
killed 1
kinder 1
knew 1
know 1
lastditch 1
late 1
leaving 1
left 2
legal 1
lets 1
life 7
like 2
living 1
local 1
long 1
love 3
made 1
major 1
making 1
male 1
marriage 1
meanwhile 1
memories 3
met 1
milkman 1
mill 1
minutes 1
mistook 1
money 1
more 1
morning 1
motorway 1
murder 2
national 1
night 2
no 3
not 2
nothing 2
noticeable 1
notices 1
novel 2
now 1
number 1
obscenities 1
obsession 1
obsessive 1
of 26
old 1
on 1
once 1
one 2
oppose 1
orders 1
other 2
out 3
over 3
pacifist 1
partly 1
past 1
peace 1
people 1
perspective 1
peter 5
phone 2
plots 1
point 2
police 1
politics 1
polly 16
positioned 1
positive 1
press 1
prevent 1
prove 1
public 3
rank 1
rather 1
reappear 1
reason 1
rebuild 1
recently 1
relationship 5
right 1
rings 1
risen 1
room 1
ruin 1
ruined 2
run 1
saboteur 1
scandal 1
scandals 1
security 1
see 1
seen 1
series 1
service 1
seventeen 1
several 2
sex 1
she 10
shoots 2
short 1
shouting 1
since 1
sixteen 1
slade 1
slept 1
small 1
soldier 1
somehow 1
something 1
spend 1
stalker 1
stand 1
stands 1
station 1
stationed 1
string 1
such 1
summer 1
talking 1
tells 1
terror 1
than 1
that 4
the 34
their 2
them 1
then 1
there 1
they 4
this 2
threaten 1
threats 1
through 1
time 3
to 21
took 1
top 1
town 1
trapped 1
unexpectedly 1
unhappy 1
unsociable 1
us 1
very 2
visit 2
visited 1
voice 1
walked 1
wants 1
was 6
way 3
we 2
what 3
when 4
whereas 1
which 1
while 1
who 5
whom 1
wing 1
with 13
woman 1
work 1
would 1
years 2
youngest 1
