1248081
/m/04lz0c
/m/04lz0c
John Barnes
1992
2th 1
a 5
across 1
acting 1
adjust 1
adults 1
adverse 1
advise 1
against 1
aimeric 3
all 1
among 1
an 4
and 13
arcturus 1
are 2
art 1
arts 1
as 4
back 2
because 1
becoming 1
before 1
begin 1
begins 2
by 2
caledon 1
caledonian 1
caledonians 2
called 2
catches 1
century 1
code 1
coming 1
conflict 1
control 1
council 1
culture 3
day 1
de 1
decide 1
decides 1
discovers 1
economist 1
economy 2
effects 2
ensues 1
everything 1
exclusive 1
fake 1
faults 1
few 1
for 1
forced 1
frequent 1
friend 1
friends 3
getting 1
giraut 7
girlfriend 1
government 2
grow 1
grownup 1
have 3
he 2
his 8
home 3
honor 1
how 1
however 1
humanity 1
imaginative 1
in 6
inhabited 1
instantaneous 1
interstellar 2
into 1
is 7
jovent 1
jovents 1
known 1
leave 1
life 1
lifestyle 1
literature 1
living 1
man 1
members 1
method 1
mission 1
more 2
most 1
moved 1
much 1
mufrid 1
named 1
nansen 1
nearest 1
neuroducer 1
not 1
nou 1
occitan 2
of 14
on 4
one 1
orbiting 2
out 1
parents 1
pes 1
planet 3
playground 1
possible 1
power 1
quartier 2
quickly 2
rational 1
really 1
recognize 1
recreation 1
regulate 1
residents 1
rest 1
return 1
reuniting 1
romantic 1
sadoporn 1
safeguarded 1
scene 1
see 1
seize 1
so 1
sometime 1
sort 1
space 1
springer 3
story 1
streets 1
strife 1
swashbuckling 1
swordfights 1
taverns 1
technologically 1
teens 1
than 1
that 3
the 27
their 3
these 1
they 1
thus 1
to 13
tradition 1
transportation 1
trobador 1
try 1
trying 1
twentysomethings 1
universe 1
up 1
upon 1
urban 1
usurp 1
valued 1
values 1
was 2
well 1
when 2
which 2
who 4
will 1
wilson 2
with 2
yet 1
young 2
