30316001
/m/0g5sdwm
/m/0g5sdwm
Geoffrey Trease
1949
{"/m/0dwly": "Children's literature"}
a 8
abbey 1
actually 1
aerial 1
alfred 5
also 2
america 1
an 5
ancient 1
and 12
antiquedealer 1
are 4
as 4
askew 1
at 4
away 1
bannerdale 1
bannermere 2
be 2
beckfoot 1
been 1
befriends 2
belong 1
bill 3
boathouse 1
bought 1
boys 1
brant 1
breast 1
burial 2
buried 4
but 5
by 4
century 1
christian 1
chronicle 1
claimed 1
coloumbs 1
complete 1
cottage 3
could 1
county 1
cousin 3
crossed 1
darren 1
deemed 1
determined 1
dishes 1
disliked 1
during 1
each 1
east 1
england 2
facing 1
farmer 1
fay 2
find 2
finders 1
finds 1
five 3
flagons 1
for 2
four 1
friend 1
from 4
furnished 1
get 1
go 1
grammar 1
hall 1
hands 1
has 2
have 2
he 3
heathen 1
held 1
her 1
high 1
his 5
holm 1
hoo 1
hundred 1
if 1
in 10
india 1
indicating 1
inherits 1
inquest 2
interrupted 1
into 1
investigate 1
is 2
island 2
it 2
items 2
lake 4
lakeside 1
landowner 1
last 1
later 1
leasing 1
live 1
lived 1
lives 1
local 1
matson 2
melbury 1
mentioned 1
miles 1
monastery 1
monocle 1
morchard 1
mother 2
move 1
mr 1
norsemen 1
not 2
notified 1
of 9
old 1
on 3
only 2
owner 1
owns 1
penelope 1
penny 1
period 1
photo 2
play 1
police 1
possibly 1
pounds 1
price 1
probably 1
property 1
proved 1
publicly 1
raids 1
respective 1
retired 1
reward 1
rooms 1
row 1
rowboat 1
school 2
schools 2
second 1
secondary 1
sees 2
shading 1
she 1
silver 1
sir 5
sister 1
skeleton 3
skeletons 1
so 1
sold 1
some 1
something 1
south 2
squire 1
st 1
stops 1
sue 2
susan 2
suspect 1
sutton 1
tenant 1
th 1
that 2
the 27
their 2
them 2
there 2
they 5
three 1
tim 1
tims 1
to 6
transfer 1
treasure 3
trove 2
tyler 1
uncover 1
uncovered 1
upper 1
viking 1
wanted 1
was 1
weekenders 1
when 2
william 2
winthwaite 1
with 4
woods 1
would 3
year 1
years 1
yorkshire 1
younger 1
