34358333
/m/0h_c4nk
/m/0h_c4nk
Colin Bateman

{"/m/0lsxr": "Crime Fiction", "/m/0vgkd": "Black comedy"}
a 2
about 1
all 1
and 2
as 1
based 1
been 1
by 1
cardinal 1
child 1
christine 1
community 1
considerable 1
daley 1
dan 1
defensive 1
dry 1
from 1
girl 1
has 3
he 1
him 1
his 1
illegitimate 1
in 1
investigate 1
investigates 1
ireland 2
is 1
island 2
join 1
little 1
mainland 1
meets 1
messiah 1
north 1
novel 1
of 4
on 1
patricia 1
plot 1
primate 1
reports 1
residents 1
resistance 1
returned 1
school 1
sent 1
shape 1
small 1
starkey 2
start 1
stevie 1
that 1
the 6
this 1
tiny 1
to 2
wife 1
wrathlin 1
young 1
