28624193
/m/0czdd77
/m/0czdd77
Barbara Mertz
1977
18 1
1860 1
a 1
after 1
against 1
all 1
alone 1
an 1
and 3
andrea 1
aristocratic 2
arrives 1
as 1
at 1
becomes 1
birth 1
by 1
castle 1
closer 1
cousin 1
dashing 1
deisowned 1
del 1
desperate 1
died 1
disguised 1
during 2
eloped 1
english 1
fairbourn 1
falcone 2
family 3
father 3
fight 1
finds 1
francesca 4
franseca 1
getting 1
had 1
helping 1
her 11
hero 1
herself 1
home 1
il 2
in 4
intertwined 1
intrigue 1
is 2
italian 2
italy 2
left 2
live 1
local 1
lost 1
mother 3
named 1
of 3
once 1
orphan 1
peasants 1
political 1
raise 1
realizes 1
rescues 1
resulted 1
risorgimento 1
rulers 1
school 1
sends 1
set 1
she 4
situation 1
tarconti 2
than 1
that 1
the 2
there 1
thinks 1
to 5
tyrant 1
until 1
was 1
web 1
when 1
which 2
with 1
young 1
