11418381
/m/02rbst3
/m/02rbst3
Lester Dent
1934-10
1 1
a 24
abandoned 1
able 1
aboard 1
abroad 1
accidentally 1
accomplishes 1
address 1
advising 1
affections 1
again 1
aides 4
all 1
allnight 2
almost 2
alone 1
along 1
also 1
always 1
an 7
and 26
annoying 1
another 2
apparently 2
approaches 1
are 7
as 5
asked 1
at 6
atlantic 1
attack 3
attacked 1
attempts 1
aviator 1
avoid 1
back 2
bait 1
base 1
based 2
be 2
beard 1
beauty 1
because 1
become 1
becomes 1
bedford 2
been 2
before 1
behind 2
being 1
big 2
billion 1
blueprints 1
boarded 1
boat 1
bomb 1
brain 2
broken 1
browses 1
building 1
buoys 2
burgess 2
burned 1
but 5
buy 1
by 10
calls 1
captured 1
case 1
caused 1
causes 1
chief 1
club 4
clues 1
comment 1
committing 1
common 1
companies 1
company 1
connects 1
consultant 1
correct 1
cousin 1
cover 1
cowardly 1
crimes 2
criminals 1
cut 2
day 1
deathheads 5
deaths 1
deduce 1
deduction 1
demolish 1
derelict 1
destroy 1
directory 1
discovers 1
disguise 1
diversion 1
diving 1
doc 18
does 1
down 2
drug 2
efficiency 1
either 1
eluded 1
ends 1
escape 1
escapes 1
especially 1
event 1
eventually 1
everyone 1
everything 1
evidence 1
expert 1
explains 1
exploded 1
explodes 1
explosion 2
explosives 1
fake 2
financial 1
find 1
fire 1
fired 1
first 1
fisherman 1
flying 1
foggy 1
follow 1
follows 1
footprints 1
for 4
found 1
from 5
fuel 1
further 1
gang 7
gardner 4
glows 1
go 1
goods 1
guide 1
habit 1
had 2
ham 3
hanging 1
harbour 1
harry 2
has 3
have 1
he 6
head 3
held 1
helldiver 1
her 1
hidden 1
hide 1
hideout 3
him 1
his 8
home 1
hugh 3
in 12
indian 3
information 1
injured 1
intended 1
into 3
investigate 2
investigating 1
investigation 1
involved 1
is 8
it 2
its 1
itself 1
jar 1
jelly 1
kidnap 1
kill 1
killed 2
l 2
lead 1
leader 1
leads 2
leave 2
leaves 1
less 1
lifeboat 1
light 2
lines 1
lorna 7
lot 1
made 1
make 2
manage 1
manipulation 1
map 2
marked 1
masks 1
mccoy 3
mdash 1
meanwhile 1
member 1
merger 1
miss 1
mock 1
money 1
monk 4
months 1
moving 1
narrowly 1
nature 1
new 2
not 3
of 15
off 2
office 1
offices 1
on 7
one 1
only 1
onto 1
opponents 1
or 2
other 2
out 6
over 1
overalls 1
overheard 1
own 1
owner 2
pace 4
paine 2
past 1
pat 5
penetrate 1
petroleum 1
pick 1
picks 1
plans 1
plot 1
point 1
poisoned 1
police 1
questioning 1
radiobuoy 1
radiobuoys 1
random 2
rapid 3
really 1
recovers 1
relations 1
repeating 1
reporting 1
rescue 2
rescues 2
research 1
rest 1
rival 2
rivals 1
river 5
row 1
rum 1
run 1
runs 1
salon 1
salongymnasium 1
same 1
savage 4
secretary 1
secrets 1
seem 1
seemingly 1
set 2
sets 1
sewer 1
shell 2
ship 3
shipyard 2
shipyards 1
short 1
showed 1
side 1
silver 5
sinks 1
sneaks 1
snitch 1
solve 1
some 2
speculated 1
started 1
steal 1
stealth 1
stock 1
stockpile 1
stolen 1
store 3
stories 1
story 1
submarine 6
submerged 1
successfully 1
sure 1
taken 1
tanks 1
telephone 1
that 5
the 58
their 5
them 1
then 1
there 1
they 11
things 1
this 1
threeinch 1
through 2
throughout 1
to 24
trail 3
transatlantic 1
trap 1
traps 1
turns 1
twice 1
ull 1
ultraviolet 2
under 2
unseen 1
up 2
using 3
vaseline 1
villains 2
violence 1
was 2
waterfront 1
wear 1
when 4
where 1
which 1
while 2
who 6
winthorp 1
winthrop 4
with 8
witnesses 1
would 1
year 1
york 1
zane 3
