18210508
/m/04crfgk
/m/04crfgk
Anthony Horowitz
2007-10-01
a 8
about 1
accidentally 1
actress 1
again 1
agree 1
albanian 1
an 1
and 10
anonymous 1
anthony 1
appearing 1
approaching 1
are 4
as 1
assassin 1
at 6
australia 1
avoid 1
away 1
be 2
been 1
before 1
began 1
below 1
benefit 1
blanks 1
bomb 1
booked 1
box 1
broke 1
brother 1
brothers 1
but 3
buy 1
by 1
called 1
can 1
cancelled 1
card 1
ceremony 1
chance 1
chase 3
christmas 5
commotion 1
concert 1
crackers 1
day 2
dddidnt 1
death 4
detective 1
diamond 2
do 1
due 1
dumb 1
during 1
earn 1
easily 1
end 1
ensuing 1
especially 1
event 1
everything 1
explains 1
extra 1
faked 1
fast 1
fell 1
fight 1
fired 1
fires 2
flat 1
following 1
from 1
get 1
give 1
go 1
greek 2
gun 1
halfwitted 1
harold 2
harrods 1
hates 1
hatred 1
have 1
having 1
he 9
hear 1
hears 1
her 3
hired 2
his 4
holding 1
horowitz 1
hotel 1
however 1
husband 1
i 1
in 3
inside 1
investigate 1
is 4
it 1
jump 1
kids 1
kill 1
killed 1
knew 1
learn 1
lights 2
like 1
looks 1
made 1
making 1
may 1
meant 1
minerva 6
moneyher 1
movie 1
next 1
nick 6
now 1
oak 1
of 4
on 5
once 1
one 1
only 1
out 1
overweight 1
paid 2
parents 1
parker 2
place 2
plane 1
pocket 2
pop 1
pounds 1
private 1
protect 1
public 1
realises 1
regent 2
rooftop 1
rooftops 2
room 1
runs 1
rushes 1
same 1
santa 1
say 1
sent 1
shocked 1
short 1
shots 1
since 2
singer 1
so 2
society 1
some 2
someone 2
something 1
spoiling 1
spots 1
stole 1
store 1
story 1
street 2
supposed 1
sure 1
suspicion 1
ten 1
that 6
the 22
their 1
then 4
they 5
thousand 1
threat 4
tickets 1
till 1
tim 7
time 1
to 16
took 1
turn 1
turns 1
two 1
up 1
via 1
visit 2
waiting 1
wanted 1
was 3
what 1
when 1
while 1
who 1
will 1
with 2
working 1
worldfamous 1
worried 1
would 2
younger 1
