13208919
/m/03byymw
/m/03byymw
Charles Sheffield

2500 1
a 18
about 2
after 1
agrees 1
all 3
allows 1
alters 1
although 1
ambiguous 1
an 9
ana 5
ancient 1
and 16
answer 1
any 1
apprenticed 1
arc 1
are 4
as 7
assuming 1
at 4
attempting 1
available 1
awaken 2
awakened 1
awakening 1
back 1
base 1
become 2
becomes 1
becoming 1
being 1
beings 3
between 1
billion 1
billions 5
biological 1
body 2
book 1
border 1
brain 2
but 4
by 4
caesura 5
called 1
can 2
care 1
carry 1
case 1
causal 1
cause 2
cautious 1
celebrity 1
chance 1
changes 1
civilization 2
collates 1
collect 1
collective 1
collectivemind 1
colonies 1
colonized 1
commander 1
communication 1
complete 1
conceive 1
consciousness 1
continuously 1
copies 4
correct 1
costs 1
create 1
cryogenic 1
cryogenically 1
culture 1
cure 2
decade 1
decide 2
deemed 1
deep 1
defenses 1
descendants 1
designing 1
despite 2
destroy 1
developed 1
devotes 1
diagnosed 1
different 1
difficult 1
discover 1
discovered 1
disintegrated 1
disorder 1
distant 1
do 4
does 1
doesnt 1
dormant 1
drake 14
each 1
effective 1
ends 1
energies 1
entire 1
eons 1
era 1
even 1
eventually 2
every 2
everything 1
exact 1
exactly 1
exhausted 1
exhausts 1
exists 1
exotic 2
experimental 1
expert 2
exponentially 1
extremely 4
few 2
finally 1
foothold 1
for 4
foremost 1
forming 1
found 1
freezing 1
from 1
frozen 1
fundamental 1
further 1
furthermore 1
future 5
gain 2
galaxy 3
generations 1
given 1
growth 1
guaranteed 1
happening 1
has 5
have 8
he 11
her 3
him 2
himself 2
his 7
historian 1
holdover 1
hope 1
hopes 1
how 1
however 1
human 1
humanity 1
hypothetical 1
idea 1
ideas 2
if 2
impossible 1
in 13
incomprehensible 1
incurable 1
inexplicable 1
infinite 1
influence 1
information 2
instantaneous 1
intentionally 1
interplanetary 1
into 1
invasion 1
is 23
it 3
knowledge 1
laid 1
last 1
later 1
leaders 1
life 1
live 1
living 1
long 1
longer 1
loses 1
low 1
main 1
manages 1
mangled 1
manipulation 1
matter 1
may 1
meaning 1
means 3
merge 1
migrate 1
militant 1
milky 1
minds 1
minor 1
mission 1
musical 1
musically 1
musician 1
namely 1
needed 1
never 1
new 3
no 4
nor 1
not 4
notable 1
note 1
novel 1
now 1
of 28
omega 1
on 5
once 1
only 1
option 1
or 1
original 1
originally 1
out 3
outside 1
over 3
pay 1
people 1
physics 1
planet 2
planets 2
plants 1
planttype 1
plight 1
plotdevice 1
point 2
positive 1
posthuman 1
posthumans 1
potentially 1
powerful 1
primary 1
prior 1
probes 1
problem 3
professional 1
proves 1
radically 1
randomly 1
reach 1
remote 1
reply 1
residents 1
resolves 1
respond 1
restore 1
result 1
return 2
returning 1
revived 2
reviving 1
same 1
scale 1
seek 1
seem 1
seen 1
sent 2
sight 1
signals 1
six 1
so 1
society 1
someone 1
source 1
spends 1
spores 1
stage 1
stasis 1
still 2
stored 1
story 1
subject 2
subplot 1
succeeding 1
successive 1
surface 1
surrounding 1
systems 1
technology 2
teleportation 2
teleported 2
tell 1
that 10
the 47
their 4
them 1
then 1
there 3
these 3
they 5
thinking 1
this 6
though 1
threat 4
thus 1
time 3
to 26
together 1
too 1
treatment 3
turn 1
universe 1
unspecified 1
uploaded 1
upon 1
use 1
used 1
using 1
vanished 1
vastly 1
version 2
want 2
war 1
warlike 1
was 1
way 1
weapons 1
well 1
what 1
when 1
where 1
which 2
who 1
widening 1
wife 2
will 4
wiped 1
wiping 1
with 4
world 2
write 1
writer 1
year 1
years 4
yet 1
you 1
zero 1
