217429
/m/01fv3c
/m/01fv3c
George Orwell
1936

44 1
a 12
act 1
after 2
agree 1
although 2
an 3
and 6
antieuropean 1
are 1
armed 1
as 3
at 1
avoid 1
away 1
baiting 1
be 2
beast 1
been 1
behaviour 1
believe 1
best 1
bone 1
bring 1
burmese 1
but 2
by 3
caliber 1
call 1
carried 1
chasing 1
children 1
colleagues 1
conflicting 1
constant 1
contemplates 1
continues 1
corpse 1
crowd 1
delaying 1
demand 1
did 1
do 1
does 1
during 1
elderly 1
elephant 9
entering 1
ever 1
feels 1
few 1
field 1
first 1
followed 1
fool 1
for 2
goes 1
group 1
has 3
he 7
heads 1
him 1
his 3
hoax 1
hours 1
if 1
imperial 1
in 4
incident 1
indian 2
inquiring 1
intellectual 1
intense 1
is 3
it 6
its 2
jeering 1
kill 2
killed 2
killing 1
later 1
learns 1
leaves 1
leaving 1
lie 1
local 1
looking 2
makes 1
more 1
moulmein 1
multiple 1
narrator 5
narratororwell 1
nearly 1
normally 1
not 1
of 6
officer 1
official 1
on 1
one 1
ones 1
oppressive 1
orderly 1
out 1
paddy 1
people 2
period 1
personis 1
police 1
pony 1
poorest 1
power 1
presence 1
pressured 1
quarters 1
rampage 1
receives 1
receiving 1
regarding 1
reports 1
rested 1
riding 1
rifle 2
role 1
roughly 1
seen 1
sees 1
sends 1
sentiment 1
shoots 1
some 1
stripped 1
subjected 1
such 1
suffer 1
symbol 1
sympathies 1
tame 1
than 1
that 4
the 30
then 3
theyll 1
thing 1
thinking 1
thousand 1
time 1
times 1
to 12
toward 1
town 1
tracks 1
trampled 1
unable 2
understand 1
village 1
want 1
was 3
where 2
who 1
whom 1
winchester 1
with 2
within 1
woman 1
wonders 1
worth 1
writing 1
younger 1
