18112020
/m/04cv6mc
/m/04cv6mc


{"/m/0hc1z": "Apocalyptic and post-apocalyptic fiction"}
120 1
188 1
a 8
abandoned 1
about 1
actions 1
afraid 1
america 1
american 2
ammo 1
an 2
and 6
angels 1
anthrax 1
arabia 1
are 4
army 1
arrive 1
ask 1
attack 1
base 3
between 1
bikers 1
boasted 1
built 1
but 1
by 3
california 1
causing 1
charismatic 1
cities 1
city 2
coming 1
contact 1
deaths 1
depicted 1
desert 1
destroyed 1
diego 3
discovering 1
driving 1
dusted 1
effects 1
emp 1
epidemics 1
exploded 1
few 1
find 1
floor 1
for 1
from 2
functioning 1
gang 1
get 1
girl 1
groups 1
had 1
hand 1
have 2
hells 1
hit 1
however 1
iii 1
in 10
incident 1
inspires 1
interested 1
into 1
it 1
japanese 3
join 2
later 2
launch 1
led 1
living 3
long 1
march 1
meet 1
merchant 1
merchants 1
message 1
militants 2
military 1
million 1
missile 1
monks 1
most 1
near 1
not 1
nuclear 3
number 1
observatory 1
ocean 2
of 7
off 1
on 2
one 1
only 1
oregon 1
out 2
outside 1
own 1
ozone 1
peacefully 2
people 2
plan 1
preach 1
protest 1
provide 1
refugees 1
representatives 1
restore 1
ruins 1
rural 1
san 3
saudi 1
since 1
soldiers 1
soviet 1
states 2
still 1
submarine 2
sunk 1
supposed 1
survive 1
survived 2
survivors 1
that 4
the 22
their 6
them 3
they 6
things 1
to 8
too 1
touches 1
trek 1
tsunami 1
twelve 1
union 1
united 2
up 1
used 1
various 1
vehicles 1
visited 1
visitors 1
volunteers 1
war 3
was 2
way 1
weapons 1
were 1
when 2
who 2
with 6
world 2
years 1
young 1
