19390852
/m/04n26hc
/m/04n26hc
Jacqueline Wilson
1997
15 1
a 6
about 4
after 3
aka 1
allard 1
and 13
are 1
arrive 1
arrives 1
as 2
asks 2
at 3
back 1
been 1
begin 1
begins 1
best 1
book 2
boy 2
boyfriend 1
break 1
but 2
by 1
called 1
cause 1
causes 1
club 1
cool 1
dan 8
dating 1
day 1
describes 1
dismisses 1
down 1
eleanor 1
ellie 12
ends 1
falls 1
falsely 1
family 1
feeling 1
feelings 1
fight 1
find 1
first 2
for 2
friend 3
friends 2
gatecrashers 1
girls 2
greg 1
had 3
handsome 1
has 1
heaven 1
her 6
him 3
his 1
holiday 1
holidays 1
however 1
impresses 1
impressions 1
intervenes 1
is 5
it 1
kiss 1
left 1
liam 5
lies 1
magda 3
meet 1
meets 1
mortified 1
nadine 5
named 3
narrated 1
nerdy 1
new 1
night 2
not 1
novel 1
of 1
old 1
on 1
one 1
only 1
opens 1
or 1
other 2
out 5
party 2
planned 1
pressure 1
put 1
putting 1
reciprocated 1
refuses 1
rethink 1
revealed 2
saves 1
school 1
seventh 1
sex 3
she 2
sneak 1
some 1
soon 2
speak 1
summer 1
surprise 1
that 2
the 9
their 1
them 1
they 1
this 1
three 1
to 11
trouble 1
truth 1
turns 2
unannounced 1
up 2
using 1
victims 1
wales 1
was 1
well 1
when 2
where 1
with 4
worries 1
worry 1
years 1
