11394696
/m/02rb155
/m/02rb155
Francine Rivers
1997-09-14
{"/m/02xlf": "Fiction"}
a 2
abortion 3
about 1
acceptable 1
admits 2
an 2
and 5
apart 1
as 3
at 2
atonement 2
be 1
before 1
bible 2
can 1
child 2
children 1
christian 1
college 2
come 1
decision 2
disappears 1
driven 1
dynah 4
eventually 1
expelled 1
faith 1
family 1
fiance 1
finds 2
for 2
forced 2
former 1
girl 1
god 1
grandmother 1
had 1
has 1
have 1
having 1
health 1
her 15
herself 1
home 1
in 1
incapable 1
informs 1
is 3
isolate 1
life 1
made 1
make 1
may 1
mother 2
must 1
not 1
of 3
on 3
or 1
own 3
pregnancy 2
prolife 3
rape 1
reasons 1
resulting 1
said 1
school 1
several 1
shatter 1
shatters 1
she 5
so 1
suddenly 1
that 4
the 5
their 1
then 1
to 6
torn 1
unless 1
views 2
was 1
what 1
when 1
whether 1
will 1
wonder 1
world 1
years 1
young 1
