901778
/m/03n8bd
/m/03n8bd
Jo Nesbø
2000
1 3
10 1
13 1
144 1
15 1
17 2
18 1
2000 2
a 44
abolished 1
about 1
above 1
accept 1
accidentally 1
across 1
actions 1
actual 2
actually 1
addition 1
africa 4
african 3
after 2
against 2
agent 2
ago 1
agreements 1
almost 2
along 1
already 1
also 4
although 2
an 3
and 41
another 2
answer 1
any 1
anything 1
apparently 2
appears 1
arafat 2
are 9
arms 3
army 2
arrest 2
as 7
assassin 2
assassinate 1
assassination 2
assigned 1
assistant 1
at 9
attached 1
attempt 2
away 1
back 3
backwards 1
bar 1
barak 2
baseball 1
bat 1
battle 1
be 1
bear 1
beaten 1
become 4
becomes 1
been 14
befriended 1
begins 1
behalf 1
behind 2
being 2
believe 1
believes 1
believing 1
betrayed 1
between 1
bill 1
biological 1
bird 1
black 3
blackmailed 1
blood 1
body 5
book 5
books 2
booth 1
boyfriend 1
breast 2
bringing 1
brow 1
bulletproof 1
burial 2
bury 1
but 9
by 11
call 2
called 2
calls 1
camp 1
capital 2
carried 1
case 2
causes 1
celebrate 1
celebrations 1
claims 1
clandestine 1
clear 1
climax 1
clinton 2
close 1
clues 1
collaborators 2
collapse 1
colleague 3
colleagues 2
come 1
comes 1
committed 2
committee 2
committing 1
concentrates 1
concerned 2
condemning 1
conference 1
congregate 1
constitution 1
continues 1
contrary 1
conversation 1
correct 1
country 1
couple 1
covered 4
crime 1
crown 1
crucially 1
crucified 1
culminating 1
custody 1
daniel 7
dark 1
david 1
day 5
days 1
deal 1
dealer 3
death 3
deeds 1
deeply 1
defected 1
defection 1
defence 1
definitely 1
destination 1
detail 1
details 2
devil 1
diplomatic 1
disappears 1
discover 1
discovered 3
discovers 2
dislike 1
distance 1
distinct 1
do 2
does 1
doing 1
done 1
downs 1
dr 1
drops 1
drunk 1
due 1
during 7
each 1
earlier 1
east 1
eastern 1
effect 1
ehud 1
elderly 2
ellen 2
elope 1
end 1
endears 1
england 1
entering 1
entire 1
eve 1
even 6
event 1
events 2
eventually 1
exchange 1
execution 1
expensive 1
explodes 1
fable 1
face 1
faced 1
faces 1
fact 2
fails 2
falls 1
family 2
father 4
fauke 2
feathers 1
fighting 1
final 1
finally 1
find 1
first 2
flat 1
fleeing 1
follow 1
following 1
for 12
forced 1
forwards 1
fought 1
found 1
friend 1
from 5
front 1
further 1
german 1
get 1
gets 1
girls 1
given 1
gjelten 1
go 1
goes 2
good 1
got 1
government 2
great 1
grenade 1
group 2
gudeson 5
had 11
half 1
halvorsen 1
hand 1
harry 27
has 12
have 6
having 4
he 16
head 1
held 1
her 6
him 4
himself 3
his 18
hole 3
hospital 1
hospitalised 1
hotel 1
how 1
however 6
husband 1
hyde 1
identity 3
illfated 1
impacting 1
impede 1
implications 1
imprisoned 2
in 42
infatuated 1
information 2
initial 1
inspector 3
intends 1
interested 1
into 2
introducing 1
investigate 2
investigates 2
investigation 4
invited 1
involved 1
involvement 1
is 31
israelipalestinian 1
it 3
its 1
itself 1
jacket 1
jekyll 1
journal 2
just 1
juul 5
keep 2
kill 1
killed 2
killings 1
knowledge 1
known 3
laid 1
land 2
landed 1
lands 1
larger 1
last 2
late 1
later 7
launching 1
lead 2
leads 1
leaves 1
led 1
legal 1
leningrad 1
life 1
limits 1
link 1
live 1
lives 2
long 1
lost 1
love 3
major 4
makes 2
man 6
managing 1
manifest 1
manning 1
many 1
matter 2
may 2
meanwhile 2
meet 1
member 1
mentioned 1
message 1
met 1
middle 2
midnight 1
mistakes 1
modern 2
most 1
mostly 1
moves 1
mr 1
mrklin 2
much 1
murder 2
murdered 1
murderer 8
murders 1
mysteries 1
mysterious 1
mystery 1
name 1
nauseated 1
nazi 3
naziled 1
nazis 1
neglects 1
nemesis 1
neonazis 3
nevertheless 1
new 4
night 1
no 5
none 1
norway 6
norwegian 7
norwegiannazi 1
not 6
novel 6
number 2
nurse 1
obsessed 2
obvious 1
occupation 2
october 1
oddly 1
of 50
often 1
old 1
oleg 2
olsen 4
on 14
once 1
one 8
only 2
openly 1
orchestrated 1
order 1
oslo 2
other 4
others 1
out 3
outcome 1
papers 1
paris 1
part 1
party 1
peace 1
personality 4
phone 2
plotting 1
point 1
policeman 2
possibility 1
possibly 1
postapartheid 2
precision 1
prepare 1
present 1
president 1
press 1
pressure 1
prevent 2
prince 8
problems 1
promoted 1
prompting 1
provide 1
punishment 3
purchased 1
racism 1
rakel 9
range 1
rank 1
rather 1
realises 1
reality 2
realize 1
reappearance 1
recently 1
red 1
reference 1
regard 1
relationship 1
remains 1
removed 2
reported 1
reprieve 1
required 1
return 1
revealed 1
reveals 1
revenge 1
rifle 3
robin 1
role 2
room 1
route 1
royal 1
rushes 1
russia 1
russian 2
russians 1
same 1
second 1
secret 2
security 1
sees 1
self 1
senior 1
sentenced 1
separate 1
separated 1
separeated 1
series 2
service 2
she 3
shoot 1
shoots 1
short 1
shot 4
side 3
sidelined 1
siege 1
signe 2
sindre 2
situation 1
sleep 1
slit 1
small 2
sniper 1
so 1
soldier 1
soldiers 4
some 2
somehow 1
son 2
soon 1
south 7
soviet 2
split 2
ss 1
stages 1
stands 1
star 1
start 1
stop 2
story 2
strange 1
stumbles 1
subplots 1
substantially 1
success 1
such 2
suggests 1
suicide 2
summit 2
superior 2
supervisor 1
surgical 1
survive 1
survives 2
surviving 1
suspected 1
suspended 1
sverre 2
take 2
taken 1
takes 1
talk 1
technicality 1
telling 1
tells 1
terms 1
tested 1
than 1
thanking 1
that 21
the 133
their 5
them 1
theme 2
then 1
there 1
they 8
this 5
thorn 2
those 1
though 1
throat 1
through 2
thus 1
time 1
timeline 1
to 57
