1123156
/m/0485hs
/m/0485hs
Brian Jacques
2000-09-01
a 7
advisors 1
after 2
aided 1
an 1
ancient 1
and 11
are 2
army 1
around 1
as 3
assassination 1
at 1
attempt 1
badger 3
bark 2
battle 3
be 1
bella 1
bigbones 1
blue 2
boar 1
book 2
brockhall 1
brocktree 6
brogalaw 2
brookback 1
bucko 1
but 3
by 4
captain 1
characters 1
chieftain 1
comes 1
command 1
contest 1
corsair 1
crew 2
culminates 1
cut 1
day 1
deaths 1
defeats 1
defending 1
die 1
dies 1
dillworthy 1
does 1
doomeye 1
dorothea 1
dotti 1
drowned 1
duckfontein 1
duel 1
efforts 1
ends 1
escape 1
even 1
eventually 3
face 1
failed 1
father 2
female 1
few 1
fighter 1
fighters 1
final 1
find 1
fleet 1
fleetscut 1
for 1
forces 1
formed 1
former 1
fortress 1
friend 1
from 1
gets 1
grandfather 1
greatgrandfather 1
groddil 1
group 1
guerrillas 1
harass 1
hare 1
haremaid 1
hares 4
have 1
he 2
highland 1
him 3
himself 2
his 4
hordes 2
in 6
including 1
into 2
is 2
joins 1
jukka 1
karangool 1
killed 1
king 1
last 1
lays 1
leading 1
least 1
leaving 1
left 1
long 1
lord 4
mace 1
many 3
massive 1
meanwhile 1
medick 1
memorable 1
mortspear 1
mountain 3
nearstalemate 1
north 1
of 13
off 2
on 2
one 1
only 1
otter 2
out 1
overrun 1
past 1
peace 1
prime 1
prisoners 1
putting 1
quick 1
remain 1
revolves 1
ruffgar 1
salamandastron 2
sand 1
saves 1
searat 1
second 1
sets 1
siege 1
sixty 1
sling 1
slowly 1
snapping 1
son 1
spine 1
squirrel 1
stand 1
starved 1
stiffener 2
stonepaw 3
stronghold 2
such 1
sunflash 1
supplies 1
survives 1
takes 1
taking 1
talking 1
thanks 1
that 1
the 28
their 2
they 1
this 1
those 1
through 1
thrown 1
to 7
tricks 1
trouble 1
trunn 7
ungatt 2
up 2
valiantly 1
vermin 1
warrior 1
water 1
when 1
who 1
wildcat 2
wins 1
with 5
years 1
