2233223
/m/06xzmz
/m/06xzmz
Charles Stross
2005-07-05
10s 1
2001 1
2004 1
21st 1
a 6
according 1
after 1
agalmic 1
all 1
altruist 1
amber 2
and 3
as 2
asimov 1
at 1
before 1
book 1
boom 1
century 2
character 1
collection 1
company 1
completely 1
daughter 1
dotcom 1
during 2
early 1
end 1
experience 1
family 1
fiction 1
final 1
first 1
focus 1
follow 2
for 2
generations 1
highgrowth 1
his 2
in 4
initial 1
inspiration 1
is 1
it 1
largely 1
macx 1
magazine 1
manfred 1
nine 1
novelettes 1
novellas 1
of 7
on 1
originally 1
period 1
programmer 1
published 1
science 1
second 1
series 1
short 1
singularity 1
sirhan 1
son 1
starting 1
stories 4
stross 1
tale 1
technological 1
telling 1
the 15
three 4
to 2
transformed 1
venture 1
was 2
working 1
world 1
written 1
