8853000
/m/027m1ww
/m/027m1ww
José Saramago
1991
a 8
about 1
account 1
actually 1
again 1
against 1
all 1
allegedly 1
aloof 1
also 1
alternate 1
amazing 1
amongst 1
an 4
and 17
angel 3
annoyed 1
apprentice 1
are 1
arrested 1
arrive 1
as 4
at 3
back 2
baptist 1
be 3
because 1
becomes 1
begins 1
being 1
believed 1
bethlehem 2
bible 1
biblical 1
birth 2
book 2
born 1
bound 1
bring 2
but 4
by 8
called 1
calling 1
can 1
catch 1
cave 1
centuries 1
character 1
choice 1
christ 1
christianity 2
claims 1
coming 1
conception 1
continues 1
continuing 1
convince 1
could 1
cross 1
crucified 1
day 1
death 3
decides 1
depicted 1
described 1
describes 1
desert 1
design 1
despite 1
devil 2
disapproving 1
discovers 1
divine 1
done 1
dreams 1
earlier 1
efforts 1
ends 1
ensuing 1
ensuring 1
eventually 1
falls 1
families 1
family 3
father 2
favourite 1
fighter 1
first 1
fish 1
fishermen 1
for 7
forces 1
forgive 1
from 4
galilee 2
get 1
gets 1
glory 1
god 11
gods 1
goes 1
gospel 1
great 2
grows 1
has 4
having 1
he 19
heard 1
hearing 1
hedonism 1
helping 1
her 1
heralded 1
herod 2
him 5
himself 3
his 17
history 1
home 2
however 1
immediately 1
in 13
incestuous 1
including 1
informed 1
inherits 1
initially 1
innocents 1
institute 1
instructs 1
is 13
it 1
jerusalem 1
jesus 18
jews 2
john 1
joseph 2
king 3
knows 1
last 1
later 2
lead 1
learned 1
learns 1
leave 1
leaves 2
life 2
likewise 1
live 1
longer 1
love 1
made 1
magdala 1
magdalene 2
magi 1
makes 2
many 1
marriage 1
marrying 1
mary 2
massacre 2
matter 1
matthew 2
meets 3
men 1
mentioned 1
messiah 1
micah 1
miracles 1
misery 1
mistakenly 1
mother 1
myriads 1
mysterious 2
nature 1
nazareth 2
neglects 1
news 1
night 1
nightmare 1
nightmares 1
no 2
not 3
novel 1
obscure 1
of 25
on 2
once 1
one 3
only 1
orders 1
other 2
out 1
own 1
peacefully 1
plagued 1
plan 5
point 1
preaching 2
premonition 1
presence 1
presents 1
proceed 1
prophet 2
put 1
race 1
realisation 1
receives 1
referring 1
release 1
repeatedly 1
rest 1
romans 1
sacrifice 1
safe 1
says 1
sea 3
see 1
seem 1
sees 1
selfish 1
sexual 1
sheep 2
shepherd 4
shepherds 1
slaughter 1
so 1
son 1
spiritual 1
suffering 1
survives 1
talent 1
tells 2
temple 1
that 6
the 48
them 1
then 1
thence 1
think 1
thirteen 1
this 1
three 1
through 1
thus 1
thwart 1
to 24
torture 1
tries 1
turns 1
understood 1
upon 1
use 1
village 1
visited 2
visits 1
warn 1
was 1
way 2
ways 1
what 2
when 1
where 3
who 5
whom 1
will 2
with 3
without 1
words 1
work 2
works 1
zealot 1
