17141716
/m/043rm_7
/m/043rm_7
Ian McDonald
2007-05-03
18thcentury 1
a 12
action 1
adventure 1
amateur 1
amazon 1
ambitious 1
an 2
and 6
another 1
appearing 1
are 1
as 2
at 1
becomes 1
before 1
beyond 1
binds 1
bloody 1
brasyl 1
brazil 2
break 1
by 1
can 1
capoeirista 1
century 2
cliches 1
cokedup 1
concerns 1
contemporary 1
crypto 1
cup 1
darkness 1
deep 1
discover 1
disgraced 1
distinct 1
embark 1
end 1
equator 1
every 2
final 1
finally 1
find 1
finds 1
fire 1
first 1
follow 1
for 2
french 1
fullfledged 1
goalie 1
going 1
half 1
he 2
heart 1
her 1
him 1
hoffman 1
in 6
industriously 1
information 1
intends 1
into 2
irishportuguese 1
is 6
its 2
jesuit 1
joined 1
jungle 1
kingdom 1
knows 1
land 1
likable 1
lost 1
luvvy 1
mad 2
main 1
marcelina 2
mid21st 1
mock 1
moment 1
momentous 1
movement 1
nation 1
natural 1
new 1
object 1
of 6
on 1
own 1
paulo 1
pendulum 1
person 2
philosopher 1
phony 1
plague 1
powers 1
presented 1
priest 1
producer 1
project 1
qblades 1
qcores 1
quantum 1
reach 1
reaching 1
reality 1
rogue 1
sampa 1
scarred 1
scours 1
sent 1
set 1
shape 1
slaver 1
so 1
state 1
story 1
strand 2
strands 1
street 1
striving 1
surveillance 1
technologies 1
television 2
territory 1
that 5
the 17
these 1
things 1
three 1
time 1
to 3
together 1
transcends 1
trial 1
trick 1
truly 1
tv 1
undo 1
universe 1
upon 1
use 1
vengeance 1
watch 1
we 2
when 1
where 1
which 2
who 4
with 2
world 2
wreak 1
