8844484
/m/027lry9
/m/027lry9
Luke Davies
1998-06-16
{"/m/07s9rl0": "Drama", "/m/05hgj": "Novel", "/m/01qxvh": "Romance novel"}
a 20
achieve 1
acting 1
action 1
addiction 2
affair 2
after 9
again 1
alcohol 1
all 3
allowed 1
allowing 1
also 1
amount 1
an 6
and 27
angers 1
another 2
answered 1
antidepressants 1
anyway 1
apart 2
are 3
around 1
artery 1
as 3
at 1
attempts 2
baby 1
back 1
bad 1
batch 2
be 2
beautiful 1
become 1
been 1
begin 1
beginning 1
begins 2
being 1
believes 1
best 1
better 1
big 2
blast 1
blood 1
blows 1
book 1
both 1
boy 1
breakdown 1
breaks 1
broken 1
brothel 1
but 11
by 4
called 1
can 2
candy 14
candythe 1
career 1
carotid 1
cash 1
casper 4
caught 1
chance 1
change 1
changed 1
chemicals 1
chemistry 1
choices 1
clean 3
come 1
comes 1
committing 1
continue 1
convinced 1
cooking 1
cooks 1
country 1
course 1
daily 1
day 1
days 1
deals 1
decide 1
decides 1
delivers 1
delusional 1
demons 1
detachable 1
detoxed 1
dies 1
disaster 1
disasters 1
do 4
does 4
doesnt 1
dope 2
down 1
downs 1
drug 1
each 1
early 1
earning 1
employer 1
end 2
epilogue 1
equipment 1
escort 1
eventually 1
everything 1
excites 1
exciting 1
excluding 1
extra 1
extremely 1
fact 1
fail 1
fall 1
far 1
father 1
feed 1
feel 1
feels 1
fellow 1
few 1
fighting 1
figuring 1
finally 2
find 1
first 1
flat 1
for 5
fresh 1
friend 2
from 3
full 1
genius 1
get 5
gets 2
girl 1
give 2
gives 1
goes 3
gradually 1
had 1
has 4
have 5
he 13
head 1
held 1
her 1
heroin 4
high 1
him 5
his 9
home 1
horrible 1
hospitalised 1
how 1
hunger 1
idea 1
if 2
illusion 1
in 8
including 1
into 3
introduced 1
invincibility 1
is 18
isnt 1
it 10
jesus 1
keep 1
kicked 1
kingdom 1
knew 1
knowing 1
knows 2
lab 1
last 1
lasts 1
leads 1
leaves 3
less 1
lessons 1
life 1
like 1
lives 2
look 1
love 1
low 1
make 1
makes 2
making 1
man 1
married 1
mates 1
means 1
methadone 1
momentum 2
money 3
more 4
move 1
movie 1
narrator 7
narrators 1
nearly 1
necklace 1
need 3
neighbor 1
nervous 1
new 1
normal 1
not 2
obviously 1
of 12
off 2
offered 1
old 1
on 1
one 4
only 3
or 1
other 1
out 2
overdose 1
own 3
part 4
past 1
path 1
pawnbroker 1
pawning 1
perfect 2
pierces 1
pitiful 1
pot 1
prayers 1
pregnancy 1
prematurely 1
prevent 1
prologue 1
prostitution 1
question 1
really 2
reason 1
recipe 1
regretted 1
rehab 2
relationships 1
relaxed 1
released 1
remain 1
reward 1
rules 1
running 1
second 1
seconds 1
sections 1
seem 1
seems 1
sees 1
sell 2
sends 1
several 1
sex 1
share 1
she 10
shoot 1
short 1
shortly 1
small 1
snorting 1
so 1
sober 1
something 1
soon 3
soul 1
spraying 1
start 2
stay 1
stays 1
story 1
strange 1
street 1
suddenly 1
suicide 1
sum 1
syringe 1
tells 1
than 1
that 2
the 34
their 4
them 2
themselves 1
there 2
they 22
things 4
thinking 1
thinks 1
this 1
three 2
through 1
time 2
times 1
tired 1
to 26
truly 1
try 5
trying 1
two 2
unexpected 1
unnamed 1
up 1
ups 1
us 1
user 1
veins 1
version 1
very 7
want 2
wanting 1
wants 1
was 1
watered 1
way 2
wedding 1
weekend 1
what 2
when 4
while 2
who 3
with 7
withdrawal 1
words 1
work 3
worse 1
wrong 1
yellow 1
yet 1
you 1
your 1
