3121975
/m/08svkc
/m/08svkc
Kate Chopin
1894-12-06
a 3
after 2
ambiguous 1
an 1
analysis 1
and 4
as 1
ask 1
at 1
attempts 1
be 1
begins 1
believed 1
believes 1
benefit 1
body 1
can 2
cause 1
dead 1
death 4
describes 1
died 1
dies 1
disaster 2
emotions 1
end 1
endures 1
exhilaration 1
factors 1
feel 1
for 2
free 3
from 2
gentle 1
have 1
hearing 1
heart 2
her 9
herself 1
his 2
home 1
horrific 1
however 1
husband 4
if 1
immediately 1
in 4
inform 1
involved 1
is 4
isnt 1
it 2
knowing 1
known 2
left 1
locks 1
loss 1
louise 1
made 1
mallard 4
mourn 1
mrs 3
news 1
not 1
of 9
ourselves 1
problems 2
psychological 1
railroad 2
range 1
real 1
really 1
reason 1
return 1
room 1
sees 1
sense 1
series 1
she 4
short 1
sister 1
soul 1
story 2
suddenly 1
suffers 1
that 3
the 11
therefore 1
to 5
unexpected 1
upon 1
was 3
way 1
we 1
what 1
who 1
wouldnt 1
