9341289
/m/028558d
/m/028558d
MaryJanice Davidson

{"/m/03npn": "Horror", "/m/05v6bm4": "Bit Lit", "/m/014dfn": "Speculative fiction", "/m/01qxvh": "Romance novel", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction", "/m/072lff": "Paranormal romance"}
a 4
afraid 1
all 1
alone 1
along 2
an 1
and 9
anyone 1
are 1
arrangements 1
arrive 1
as 1
at 2
avoid 1
be 1
behind 1
bestselling 1
betsy 4
big 1
breathes 1
buddies 1
but 2
cant 1
charts 1
cold 1
conveniently 1
conventional 1
conversation 1
crashing 1
day 1
days 1
disappearances 1
disappears 1
does 1
eric 1
especially 1
everyone 1
expects 1
fate 1
feet 1
few 1
fiance 1
fiend 1
find 1
flower 1
for 2
forever 1
foundation 1
frantic 1
friends 1
full 1
ghost 1
goes 1
groom 1
guests 1
happens 1
have 2
he 1
her 5
his 1
house 1
human 1
in 3
into 1
is 2
just 2
king 1
known 1
knows 1
leading 1
life 1
lore 1
loved 1
loves 1
make 1
manage 1
missing 1
moments 1
most 1
never 1
new 1
next 2
no 1
not 1
of 3
ohsosexy 1
ones 1
other 1
place 1
preparations 1
presence 1
queen 1
sailing 1
seating 1
seems 1
series 1
shake 1
she 3
sinclair 2
smooth 1
store 1
surprise 1
taylor 1
that 1
the 11
them 1
there 1
though 1
to 6
tries 1
truly 1
trust 1
turns 1
undead 1
up 1
vampire 4
wedding 2
weeks 1
werewolf 1
what 2
when 2
whoever 1
will 1
with 3
wont 1
world 1
yet 1
