16973869
/m/04140v8
/m/04140v8
Adam Roberts
2001
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction"}
10 1
a 10
about 1
abuse 1
according 1
across 1
adolescent 1
advanced 1
after 1
again 1
almost 1
an 5
and 17
apparently 1
army 3
arriving 1
as 3
at 2
attack 1
author 2
avoids 1
back 1
badly 1
balloon 1
battle 1
be 1
before 2
blinds 1
board 2
book 1
bottom 1
brain 1
built 1
but 7
buys 1
by 3
called 1
calls 2
campaign 1
can 1
captured 1
care 1
catastrophically 1
centre 1
changed 2
chapters 1
city 2
civilisation 1
cliffface 1
concludes 1
control 1
corner 1
could 1
craft 3
crags 1
criticism 1
describe 1
dies 1
direction 1
disappear 1
drafted 1
due 1
during 1
earth 1
encounter 1
end 1
ending 1
ends 1
enemy 1
energy 2
enormous 1
entire 1
environment 1
escape 1
evening 1
eventually 1
every 2
explain 1
explains 1
eye 1
fallen 1
falls 2
family 1
father 1
firearm 1
first 1
flying 2
follows 1
for 3
forced 1
from 5
gives 1
goes 1
grandfather 2
gravity 1
grows 1
had 1
hardness 1
have 2
he 12
highly 1
him 5
himself 2
his 14
how 1
however 1
identity 1
implanted 1
in 8
incomprehensibly 1
inhospitable 1
injuries 1
intending 1
into 1
introduces 1
irritates 1
is 12
it 2
journey 1
kills 1
lands 1
language 2
large 1
last 1
learns 1
ledges 1
life 2
like 1
local 1
long 1
looks 1
lost 1
machinery 1
makes 1
man 1
mankind 1
members 1
mental 1
midst 1
miles 1
mistrust 1
morning 1
mother 3
must 1
mysteriously 1
name 1
named 1
native 1
nearby 1
nonresponsive 1
not 1
novel 1
object 2
of 12
off 2
on 6
once 1
only 2
opportunity 1
or 2
others 1
otre 3
our 1
outside 1
over 1
overdependence 1
parents 2
part 2
partway 1
pilot 2
plans 1
platoon 1
point 1
pointed 1
possible 1
preparing 1
pronounced 1
question 1
questions 1
react 1
received 1
receives 1
recovering 1
reencountering 1
release 1
rescued 1
rises 1
roughly 1
rounding 1
run 1
seemed 1
sees 1
sell 1
sets 1
shelf 1
shoots 1
silvery 2
similar 1
slave 3
slowly 1
so 1
sold 1
some 1
soon 1
source 1
speaks 1
standard 1
state 2
story 3
suddenly 1
sun 1
survives 1
takes 4
technology 2
that 7
the 50
they 3
this 3
through 1
tighe 25
tighee 1
to 11
top 1
towards 1
trader 2
tries 1
troops 1
two 1
unusual 1
us 1
very 1
village 3
wall 4
war 1
way 2
website 1
were 1
when 1
where 1
while 1
who 3
whose 1
will 1
with 3
wizard 7
world 1
worldwall 1
young 1
zero 1
