245395
/m/01kjdf
/m/01kjdf
Don DeLillo
1997-10-03
151 1
3 1
54 1
a 7
about 1
after 1
all 1
always 1
and 10
another 1
are 1
as 2
at 2
away 1
ball 4
baseball 1
beating 1
become 1
been 1
before 1
befriended 1
being 1
bobby 1
book 1
both 1
boy 1
branca 2
brooklyn 1
bruce 1
but 3
by 1
cameos 1
capturing 1
center 2
cents 1
comedian 1
cotter 3
crime 1
crisis 1
cuban 1
death 1
delillo 1
despite 1
details 1
detention 2
die 1
discuss 1
dodgers 2
dollars 1
early 1
edgar 1
end 1
epilogue 1
faces 1
fact 1
fan 1
fans 1
fate 1
father 1
field 1
figures 1
for 3
fortyfive 1
frank 1
from 2
giants 2
given 1
gleason 1
gonna 1
grounds 1
had 2
has 2
he 3
heard 1
her 2
him 1
his 2
historical 1
hits 1
home 2
homer 1
hoover 1
housewife 1
hysterical 1
impersonating 1
important 1
improved 1
in 9
indicates 1
infidelity 1
inning 1
interested 1
into 1
is 5
it 3
its 1
j 1
jackie 1
jesuit 1
just 1
juvenile 1
known 1
later 1
league 1
learn 2
leather 1
lenny 1
loyalty 1
man 1
manx 1
marian 1
married 1
martin 2
masks 1
minnesota 1
missile 1
much 3
murdering 1
muses 1
named 1
national 1
near 1
never 1
new 1
nick 3
ninth 1
northern 1
not 1
novel 4
october 1
of 4
on 4
only 1
opened 1
opens 1
other 1
own 1
pafko 1
parts 1
past 1
pennant 1
pitches 1
play 1
polo 1
prologue 1
put 1
ralph 1
reform 1
relationship 1
released 1
remain 1
revealed 1
round 1
runs 1
school 1
screen 1
sells 1
sent 1
shay 1
shot 1
shrieking 1
sides 1
sinatra 1
sneaks 1
stands 1
steals 1
story 1
subject 1
that 6
the 24
their 1
thirtytwo 1
this 1
thomson 2
threerun 1
time 1
to 6
unknown 1
until 1
unwilling 1
up 1
valuable 1
wall 1
was 2
watch 1
we 2
were 1
when 1
while 1
who 2
world 1
wrests 1
written 1
york 1
