8343922
/m/027046k
/m/027046k
John Flanagan
2008-11-04
a 25
about 1
acid 1
after 2
against 1
agreement 1
alone 1
also 1
always 1
alyss 9
among 1
an 4
and 29
animals 1
are 1
area 1
around 1
arrive 1
arrived 1
as 8
asked 1
assigned 2
assignment 1
assistant 1
at 7
attacked 1
attempt 2
attempted 1
back 2
barely 1
baron 2
bars 1
battle 1
battlemaster 2
be 2
because 1
becomes 1
before 2
being 1
better 2
bibliophile 1
black 1
bleeding 1
brutal 1
but 3
buttle 2
by 4
cabin 1
captured 1
castle 8
certain 1
certainly 1
chance 1
choice 1
climbed 1
cold 1
come 1
commandant 1
conclusions 1
connected 1
consisting 1
contact 1
conversation 1
corp 1
courier 1
cousin 1
crowley 3
days 1
dead 1
death 1
determined 1
did 1
dissolve 1
do 1
dog 2
due 1
during 1
earlier 1
entered 1
epitomic 1
escapes 2
even 1
events 1
fact 1
failed 1
fails 1
fallen 1
fantasized 1
female 1
few 2
fiance 1
fief 5
finds 1
first 1
fledged 1
food 1
for 3
forced 1
former 1
found 1
friend 1
from 7
fully 1
gather 1
gave 1
get 1
go 1
grimsdell 1
grown 1
guise 1
gwendolyn 1
had 9
half 1
halt 3
happened 1
happening 1
has 2
have 2
he 8
heal 1
heals 1
help 1
her 7
him 8
his 11
home 1
however 1
idea 1
if 1
illness 2
immediately 1
in 11
information 1
injured 1
instructed 1
investigate 1
irate 1
is 8
it 1
its 2
jester 1
john 2
jongleaur 1
jongleur 1
just 3
keren 4
killed 1
knights 1
knocked 1
knows 1
lack 2
lady 1
later 2
lax 1
lazy 1
least 1
lesson 1
life 1
lifelong 1
little 2
lived 1
longbow 1
lord 4
macindaw 4
malcolm 2
man 2
managed 1
many 1
master 3
meet 1
men 1
mentioned 1
met 2
minstrel 1
mission 1
month 1
more 1
murders 1
new 1
next 1
none 1
norgate 1
northern 1
not 1
novel 1
number 1
of 15
on 2
once 1
or 1
orman 10
otherwise 1
out 2
over 1
overheard 1
party 3
pet 1
planning 1
plot 1
poisoned 1
pompous 1
popular 1
practice 1
protected 1
protecting 1
puzzled 1
quarters 1
raid 1
raided 1
raiders 1
raiding 2
ranger 3
reached 1
realizes 1
received 1
recent 1
recognises 1
rescue 1
responsibilities 1
responsible 1
revealed 1
rides 1
right 1
roadside 1
room 1
ruler 1
rumors 1
same 1
save 1
seacliff 3
seeing 1
self 1
sent 1
she 2
sick 1
simple 1
sitting 1
skandian 3
skandians 1
skill 1
slack 1
slave 1
so 3
soldiers 1
solution 1
some 1
son 1
sorcerer 3
sort 1
special 1
spending 1
spread 1
stand 1
starts 1
starved 1
strangely 1
string 1
subjects 1
summons 1
superficial 1
supply 1
suspicious 1
syron 3
take 1
takes 1
talking 1
task 1
taught 1
tell 1
tells 1
temporary 1
that 5
the 39
their 1
them 2
then 1
there 1
they 7
things 1
thirty 1
this 4
to 27
told 1
tower 1
town 3
training 1
travel 1
traveled 1
traveling 2
two 1
undercover 2
unfortunately 1
unpopular 1
unprepared 1
unwrapped 1
up 1
walks 1
wall 1
wanted 2
was 9
way 1
wearing 1
weeks 1
went 1
were 2
what 1
where 1
which 2
while 1
who 2
will 26
window 1
with 5
woman 1
woods 1
would 3
