8004325
/m/026n6y_
/m/026n6y_
André Gide

a 5
ability 2
about 2
adopts 1
age 1
also 2
amlie 1
an 2
and 7
are 1
as 5
asks 1
attempts 1
attention 1
be 1
beautiful 1
because 2
becomes 1
beethoven 1
before 1
bible 1
blind 2
blindness 1
but 1
by 2
care 1
character 1
charlotte 1
children 1
concept 1
contracts 1
contrasted 1
daughter 1
death 1
dedicates 1
despite 1
dishonesty 1
eldest 1
eventually 1
extent 1
eyesight 1
fact 1
feelings 2
feels 1
five 1
for 1
from 1
gertrude 9
gets 1
girl 1
has 1
having 1
he 1
hear 1
her 7
herself 1
him 3
his 6
in 5
innocence 1
intellectual 1
into 1
invited 1
is 8
it 2
jacques 3
jealous 1
judge 1
jumping 1
known 1
limited 1
love 2
made 1
main 1
man 3
marry 1
more 1
names 1
nature 1
not 1
obviously 1
of 4
old 1
on 1
operation 1
own 1
pastor 11
pastoral 1
pictured 1
pneumonia 1
preserve 1
prompt 1
protecting 1
reader 1
realizes 2
really 1
recognition 1
refers 2
refuses 1
regained 1
regard 1
religious 1
repair 1
rescued 1
resents 1
river 1
same 1
see 2
seem 1
seriously 1
she 7
shortly 1
similar 1
sin 1
sixth 1
some 1
son 1
suicide 1
symphony 3
takes 2
tells 1
than 1
that 3
the 23
their 1
them 1
things 1
this 3
title 1
to 15
toward 1
tries 2
true 1
very 1
was 2
when 2
which 1
who 2
whom 1
wife 1
with 4
woman 1
world 1
young 2
