21387495
/m/05fb2_1
/m/05fb2_1
Susan Fletcher
2006-08-22
{"/m/014dfn": "Speculative fiction"}
a 5
about 1
across 1
alphabet 1
an 1
and 1
arduous 1
asked 1
babak 2
boy 2
brave 1
brother 1
change 1
could 1
dancing 1
desert 1
determined 1
discover 1
do 1
dream 3
dreams 1
ever 2
for 3
future 1
has 1
he 1
her 1
him 1
his 2
in 2
including 1
is 4
journey 1
living 1
magus 2
mitra 1
must 1
mysterious 1
named 1
necessary 1
night 1
no 1
of 2
older 1
on 2
power 1
powerful 1
predict 1
profit 1
prophetic 1
protect 1
receives 1
riddle 1
she 1
sister 2
solve 1
stars 1
streets 1
survive 1
sworn 1
takes 1
talent 1
that 1
the 7
them 1
they 1
this 1
to 5
two 1
using 1
vision 1
way 1
what 2
when 1
who 1
will 1
world 1
young 1
