12949843
/m/02z12my
/m/02z12my
Andrew Kaplan
1987
a 7
abandoned 1
after 1
agent 2
american 1
an 2
and 3
another 1
as 1
at 1
attack 1
bangkok 2
bangkoks 1
beautiful 1
behind 1
betrayed 1
bhun 2
billionaire 1
brother 1
brutal 1
businessman 1
by 1
cambodia 1
cambodian 1
captive 1
captured 2
cia 2
codenamed 1
convince 1
country 1
criminal 1
deadly 1
death 1
dragonfire 1
during 1
epilogue 1
escape 1
eurasian 1
fields 2
fight 1
fighter 1
forbidden 1
forces 2
former 1
freeing 1
from 1
golden 1
hands 1
has 1
he 2
her 2
hill 1
him 2
in 4
is 5
joins 1
khmer 3
killing 2
kills 2
lair 1
leads 1
lone 1
missing 1
mission 2
most 1
not 1
notorious 1
number 1
of 9
on 4
opium 2
over 1
parker 2
plot 1
powerful 1
pranh 1
prevent 1
resistance 2
revealed 2
rouge 2
rouges 1
ruins 1
sa 2
same 1
sawyer 7
sent 1
she 1
ship 1
sister 1
southeast 1
story 1
suong 6
suongs 1
survival 1
takes 1
tells 1
temple 1
the 20
them 1
to 6
toonsang 1
tracks 1
trade 1
trader 1
treacherous 1
triangle 1
turns 1
two 1
underworld 1
vasnasong 1
victims 1
vietnamese 1
war 2
warlord 1
waterfront 2
which 1
while 1
who 2
with 1
