3979496
/m/0b9t77
/m/0b9t77
Nancy Holder
2000-04-01
a 3
all 1
and 3
angel 3
angeles 1
band 1
be 2
before 1
being 1
between 1
both 1
burning 1
but 1
by 1
cause 1
child 1
children 1
cordelia 2
crime 1
death 1
deaths 1
difficulties 1
direction 1
doyle 1
find 1
for 1
from 1
harder 1
have 1
help 1
hopes 1
immigrant 1
immigrants 1
imprisoning 1
in 2
inside 1
investigates 1
involved 1
is 3
it 2
la 1
late 1
lead 1
link 1
los 1
much 1
no 1
of 2
out 1
parents 1
powers 1
realize 1
rich 1
same 1
searches 1
seem 1
seems 1
slumlord 1
struck 1
supernatural 1
the 5
their 1
there 1
these 1
they 1
thieves 1
to 4
too 1
tries 1
victims 1
wave 1
who 1
