941708
/m/03r_hs
/m/03r_hs
David Langford

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 3
again 1
back 1
be 1
britain 1
bureaucracy 1
caught 1
centre 2
difficult 1
disastrous 1
easy 1
facility 1
fights 1
for 2
getting 1
gone 1
he 1
heath 1
his 1
in 2
is 2
it 2
joke 1
nuclear 3
of 2
out 2
part 1
plutonium 1
potentially 1
practical 1
purpose 1
research 1
results 1
robinson 1
roy 1
smuggling 2
surprisingly 1
tappen 1
technology 1
the 3
to 3
trying 1
turns 1
undo 1
use 1
utilisation 1
weapons 1
which 1
while 1
without 1
works 1
wrong 1
