393492
/m/022_l3
/m/022_l3
Gore Vidal
1948-01-10
{"/m/05hgj": "Novel"}
130s 1
a 20
about 3
actor 2
adequate 1
advances 1
affair 3
after 2
again 4
air 1
alarming 1
all 1
also 3
although 1
an 5
and 16
angeles 1
annulled 1
another 2
anxious 1
appealing 1
are 2
army 1
around 1
arthritis 1
artistic 1
as 3
at 5
attained 1
attracted 1
back 1
bars 1
base 1
be 4
because 3
become 1
becomes 2
bed 1
been 1
begins 1
being 2
bellboys 1
best 1
bob 11
body 1
both 1
boy 1
boyfriend 1
boyhood 1
breakup 1
but 7
by 2
cabin 1
calls 1
camping 1
can 2
causes 1
centers 1
christmas 1
circle 1
clearly 1
closer 1
cold 1
collins 3
colorado 2
comes 1
company 1
confrontation 1
considers 1
contracts 1
corporal 3
course 1
cruise 1
crushed 1
date 2
dead 1
decides 1
despite 1
determined 1
different 1
difficult 1
disaster 1
discharged 1
do 1
does 3
double 1
drawn 1
drink 1
due 1
each 1
effeminate 1
elated 1
end 3
ended 1
enlist 1
enough 2
europe 1
even 6
eventually 2
executives 1
face 1
father 1
fearing 1
feel 1
female 1
finally 3
find 2
for 7
force 1
forced 1
ford 1
frequenting 1
friend 1
friends 1
from 3
gay 2
get 1
gets 1
girls 3
go 3
goes 3
going 1
good 1
grabbing 1
had 1
handsome 1
happily 1
happy 1
has 7
have 2
having 1
he 22
high 1
him 10
his 15
hollywood 2
home 1
homosexuals 2
hoped 1
hopes 2
hoping 2
hotel 2
how 1
however 1
ii 1
image 1
imagined 1
immediately 1
in 25
infuriated 1
inheritance 1
insistent 1
inspiration 1
instructor 1
interest 1
interested 2
into 1
introduces 3
is 24
it 1
jim 25
job 1
joining 1
late 2
later 3
leaper 1
learns 2
leave 1
leaves 1
lesbian 1
life 1
like 2
local 2
loneliness 1
look 1
los 1
love 2
made 1
maria 4
marine 1
marriage 1
married 2
marry 1
means 1
meantime 1
meets 4
men 1
merchant 1
midthirties 1
millionaire 1
moaning 1
more 3
move 1
moves 2
murder 1
must 1
needing 1
new 5
next 1
normal 1
not 6
odyssey 1
of 10
on 6
once 1
one 2
open 1
original 1
orleans 1
other 2
out 3
outraged 1
overcome 1
pain 1
painful 1
pal 1
panics 1
parties 1
party 2
passion 1
paul 9
perform 1
player 1
plot 1
possibility 1
previously 1
public 1
punches 1
queer 1
quite 1
quits 1
rapes 1
realize 1
really 1
relationship 4
relationships 1
relief 1
repelled 1
resolution 1
resume 1
reunited 1
revision 1
rheumatoid 1
ronald 4
room 2
same 1
school 1
sea 1
seaman 1
seattle 1
seducing 1
see 1
seem 1
seems 3
senior 1
separation 1
sergeant 2
service 1
set 1
seven 1
sex 4
sexual 1
sexually 2
shaw 2
ship 2
sights 1
so 2
some 2
specialize 1
spurned 1
stage 1
start 1
started 1
states 1
stay 1
stereotypical 1
storms 1
stronger 1
struggle 1
studio 1
succeed 1
suitably 1
sullivan 1
take 1
takes 1
tennis 2
than 1
that 5
the 33
their 5
then 1
they 1
thing 1
think 1
thinks 2
this 4
though 3
thought 1
three 1
time 1
to 39
together 1
too 1
tragic 1
transferred 1
tries 1
trip 1
twenties 1
two 6
unable 2
unfortunately 1
united 1
unsuccessfully 1
up 1
uphold 1
vaguely 1
verlaine 1
version 1
very 1
virginia 1
wants 2
war 1
warrants 1
was 1
way 2
weather 1
what 1
when 7
where 4
which 2
while 1
who 6
whose 1
will 2
willard 1
wins 1
with 13
woman 1
woods 1
work 1
world 1
writer 1
year 1
years 1
york 4
young 1
youth 1
yucatn 1
