6986074
/m/0gz_0h
/m/0gz_0h
Gregory Maguire
2003
16th 1
a 9
an 1
and 7
are 2
ask 1
attention 1
beauty 1
becomes 2
beginning 1
bianca 3
borgia 1
brother 1
but 1
by 1
century 1
cesare 3
children 1
come 1
cook 1
daughter 1
day 1
de 3
decadent 1
don 1
dwarf 2
dwarfs 1
dwarves 1
early 1
earthy 1
eighth 1
escapes 1
estate 1
eventually 1
family 1
fashioned 1
finds 1
following 1
for 3
fra 1
from 1
girl 2
gone 1
good 1
he 2
her 1
hires 1
his 2
holy 1
in 5
incidentally 1
interesting 1
into 1
is 2
it 1
italy 1
jealous 1
kill 1
left 1
life 1
lives 1
looking 1
lost 1
lucrezia 3
ludovico 1
manor 1
mirror 4
montefiore 1
most 2
named 1
near 1
nevada 3
nobleman 1
novel 2
of 7
old 1
on 2
one 1
place 1
pond 2
pope 1
primavera 1
quest 1
relic 1
return 1
runs 1
sends 1
seven 2
she 1
small 1
spends 1
staff 1
stealing 1
story 1
takes 1
temper 1
the 15
their 1
there 1
they 1
this 1
to 4
two 1
until 1
vicente 1
vincente 1
visit 1
was 1
when 1
which 1
while 1
who 1
with 1
woman 1
woodsman 1
year 1
young 1
