6436202
/m/0g58zj
/m/0g58zj
Donald Hamilton
1989-06
{"/m/014dfn": "Speculative fiction", "/m/06wkf": "Spy fiction"}
a 5
action 1
again 1
agency 2
agent 1
all 2
ally 1
almost 1
altruistic 1
an 1
and 6
another 1
anyone 1
are 1
arms 1
arrested 1
as 1
assigned 1
assignments 1
baron 1
be 4
before 1
beginning 3
being 1
borrowing 1
by 4
called 1
can 1
change 1
characters 2
cody 2
completing 1
course 1
dead 1
doesnt 1
doing 1
dont 2
down 1
fool 1
from 2
full 1
gives 1
go 2
government 1
he 1
head 1
helm 6
help 2
helping 1
his 4
horace 1
hosmer 1
illegal 1
image 1
impersonate 1
in 6
including 1
into 2
intrigue 1
is 6
it 2
job 1
loaning 1
mac 2
make 1
man 1
many 1
matt 8
mexican 3
mexico 2
millionaire 2
mission 1
most 1
noone 1
not 1
novel 3
objectives 1
of 17
oil 2
old 1
once 1
one 1
order 1
others 1
out 2
overthrow 1
people 1
place 3
purely 1
purposes 1
radical 1
ramon 1
revolutionaries 1
rich 1
runs 1
said 1
security 1
services 1
shipment 2
shown 1
smuggled 1
solanaruiz 1
some 1
somerset 2
sometimes 1
starts 1
story 2
style 1
succeeds 1
supplied 1
supposedly 1
takes 2
taking 1
that 1
the 19
them 1
they 1
thinks 1
this 2
through 1
to 8
trace 1
track 1
trust 1
turn 1
typical 1
up 1
used 1
usual 2
wants 1
warning 1
weapons 1
what 1
where 2
will 1
with 2
