5381738
/m/0djb71
/m/0djb71
Walter Scott
1823-01-07
a 16
abandon 1
abetting 1
acquitted 1
act 1
adopted 1
after 4
afternoon 1
afterwards 2
against 4
aid 1
aiding 1
alice 8
all 1
allowed 3
already 1
although 1
among 1
an 6
and 37
apartments 1
arrested 1
as 7
ascertained 1
ashore 1
asleep 1
assailant 1
astonished 1
at 8
attacked 1
attracted 1
audience 1
aunt 1
avoid 1
await 1
battle 1
be 1
became 1
been 4
being 3
between 1
blood 2
boltonlemoor 1
both 1
boys 1
bribed 1
bridgenorth 6
brotherinlaw 1
brought 1
buckingham 2
but 1
by 11
calling 1
captured 1
care 5
case 1
castle 2
caused 1
cell 1
charge 1
charles 4
cheshire 1
chiffinch 4
christian 7
clear 1
colonel 2
committed 1
communicated 1
companion 1
concerned 1
conducted 1
connivance 1
consent 2
conspiracy 1
conversed 1
convinced 1
countess 6
country 1
course 1
courtier 1
custody 1
dame 1
dancing 1
daughter 2
days 1
deaf 2
deborah 1
defiance 1
depart 1
dependents 1
derby 2
design 1
different 1
disappeared 1
discover 1
domains 1
dowry 1
dreamt 1
duke 4
dumb 2
during 1
dwarf 4
earl 1
edward 1
emerged 1
emigrated 1
enabled 1
encountered 1
endeavoured 1
england 1
entrance 1
entrusted 1
equally 1
escape 1
escaped 1
escorting 1
estate 1
estates 1
execution 1
experiences 1
families 1
father 3
feign 1
fenella 6
few 2
fifthmonarchy 1
find 1
finding 1
for 5
formed 1
foster 1
found 1
fray 1
from 5
frustrated 1
ganlesse 2
geoffrey 5
girl 1
grace 1
granted 1
had 19
hall 2
halted 1
hands 2
have 1
having 6
he 17
heard 1
help 1
her 17
herself 1
him 7
himself 1
hinted 1
his 28
house 1
however 3
hundred 1
idea 1
ii 2
impossible 1
imprisonment 1
in 14
influence 1
inn 2
instead 1
intercept 1
interfered 1
interview 2
interviews 1
intimacy 1
into 2
introducing 1
invisible 1
isle 1
it 2
james 1
julian 8
just 1
king 4
kingdom 1
knight 2
lady 2
lance 1
leave 1
led 3
liberty 1
life 1
liverpool 1
london 3
long 1
lordlieutenant 1
lost 1
love 1
lover 1
major 4
man 1
managed 1
marriage 2
marrying 1
martindale 2
martindalemoultrassie 1
meanwhile 1
men 1
met 2
might 2
miners 1
mistress 1
mob 1
morning 1
mother 1
motherless 1
moultrassie 1
movements 1
name 1
new 1
newgate 1
news 1
next 2
niece 1
night 2
not 3
notice 1
number 1
nurse 1
oates 2
of 30
offered 1
old 1
on 5
one 1
order 2
overhear 1
overheard 1
own 1
papers 2
parents 1
park 1
passed 1
passing 1
patron 1
peak 1
persuade 1
peveril 6
peverils 1
placed 4
plot 3
politics 1
popish 1
power 1
presence 1
pretended 1
priest 1
prisoner 1
proceed 1
proclaim 1
propose 1
protection 1
puritan 1
queen 1
reached 1
reaching 1
real 1
received 1
recognised 1
recommendation 1
recover 1
recovering 1
refuge 1
regained 1
related 1
released 1
religion 1
religious 1
renewed 1
restoration 1
restore 1
return 2
revealed 1
revealing 1
robbed 1
room 1
roundheads 2
royalist 1
same 2
saved 1
search 1
secret 2
secured 1
seize 1
sent 1
servant 2
servants 1
several 2
she 5
shot 1
should 1
sir 5
sister 1
sloop 1
so 1
some 2
son 4
sought 1
speaker 1
spy 1
st 1
started 1
startling 1
street 1
suffered 1
supped 1
supposed 1
surprised 1
suspicion 1
taken 2
tearing 1
that 11
the 59
their 2
them 3
then 2
they 7
through 2
titus 1
to 35
together 1
took 1
topham 2
trained 1
traitor 1
transpired 1
travelled 1
treachery 1
tried 1
under 4
undertaken 1
unexpected 1
united 1
up 2
vaguely 1
vengeance 1
views 1
violoncello 1
visitors 1
voice 1
warn 1
warrant 2
was 16
way 2
weeks 1
were 5
when 1
where 7
which 4
while 1
who 9
whom 1
whose 2
widowed 1
wife 1
will 1
william 1
with 13
withdrawn 1
within 1
would 1
wounding 1
years 1
young 2
zarah 1
