31151251
/m/0gh8420
/m/0gh8420
Jeffrey Archer
2011-09
11 1
120 1
140 1
a 6
about 2
and 18
anything 1
are 1
around 1
arthur 4
as 2
at 2
barrington 1
be 1
befriending 1
beginning 1
begins 1
better 1
between 1
boy 1
bristol 1
but 2
centers 1
changed 1
choir 1
clifton 4
cliftons 1
company 1
consider 1
continue 1
couldnt 1
countless 1
deals 1
death 1
decisions 1
destined 1
died 2
docks 1
does 1
doubt 1
during 1
elementary 1
england 2
father 4
few 1
focus 1
follow 1
footsteps 1
for 1
forever 1
from 1
future 1
germany 1
gift 1
giles 1
give 1
go 1
grown 1
happened 1
harry 7
harrys 5
has 2
he 4
her 1
hero 1
him 2
his 5
holcombe 1
if 1
in 3
is 5
it 1
jack 1
know 1
knows 2
life 1
loner 1
looks 1
main 2
maisie 3
maisies 1
make 1
man 1
math 1
may 1
means 1
miss 1
mistress 1
monday 1
mother 1
mr 1
must 2
new 1
no 1
novel 1
of 6
off 1
old 1
on 2
one 1
only 1
opened 1
owns 1
parentage 2
people 1
personal 1
plot 1
possibly 1
protagonist 1
realizes 1
revolves 1
sacrifices 1
same 1
saves 1
school 3
schooling 1
scrimps 1
second 1
secret 1
send 1
set 1
shipping 1
some 1
son 2
song 1
spanning 1
story 1
tar 1
teacher 1
tell 1
tells 1
that 2
the 21
thinking 1
this 1
though 1
time 3
to 9
tough 1
tragedies 1
truth 2
uncle 2
until 1
up 2
waitress 1
war 4
what 2
when 2
where 1
while 1
who 2
will 1
with 2
work 2
works 1
world 2
wwi 1
young 1
