2376568
/m/077kq2
/m/077kq2
Matthew Reilly
2005
500 1
82nd 1
a 14
acknowledged 1
across 1
airborne 2
aircraft 2
airfield 1
along 3
american 1
ammunition 1
an 5
and 11
apes 4
are 4
armed 1
as 2
at 1
base 1
battle 1
be 1
becomes 1
before 2
best 1
board 1
book 1
broyles 2
buccaneer 2
buck 1
bunker 1
but 2
by 2
c17 1
calming 1
can 1
captain 2
captured 1
capturing 1
carrier 3
changes 1
charge 1
chips 1
clear 1
colt 1
combat 1
commandos 1
comments 1
congratulates 1
controlled 1
controlling 2
creators 1
currently 1
cvn68 1
darpa 3
dating 1
deactivate 1
deadly 1
deck 1
delta 7
departing 1
detonating 1
disc 1
discs 1
dispatch 1
distracted 1
division 1
door 1
doors 1
down 1
dr 1
drowning 1
due 1
during 1
electronically 1
elite 1
employed 1
enemy 2
enhanced 1
entrance 1
event 1
eventually 1
execute 1
experiments 1
explain 1
extensive 1
extremely 1
far 1
features 1
few 1
field 1
fires 1
five 1
flood 1
flooding 1
for 3
force 7
forces 2
former 1
from 2
genetically 1
gorillas 6
government 1
grandfather 1
ground 1
group 2
has 1
he 1
hell 1
his 3
home 1
however 1
hundred 1
ii 2
in 5
including 2
instructing 1
investigate 2
is 6
island 6
it 2
jams 1
japanese 1
killed 1
kills 1
knox 1
landfall 1
large 1
leader 2
least 1
leave 1
leaving 1
lock 1
lower 1
m4 1
make 1
marine 1
marines 5
mechanism 1
melee 1
men 1
modified 1
more 1
mother 1
munitions 1
murder 1
network 1
neural 1
nimitz 1
numbers 1
of 12
old 1
on 5
only 1
onto 1
opens 2
or 1
originally 1
other 2
pacific 1
parachuting 1
parts 1
pick 1
project 1
quickly 2
radio 1
realises 1
recon 1
releasing 1
remaining 2
remember 1
remote 1
rest 1
schofield 10
scientific 1
scientist 2
scientists 1
sea 2
seal 1
seals 1
selfdestruct 1
sent 1
set 1
signals 1
significant 1
silver 2
similar 1
situation 1
slaughtered 1
so 1
sole 1
somehow 1
soontobedecommissioned 1
special 2
squad 1
squads 2
storage 1
stumble 1
success 1
supersoldier 1
survivors 1
system 1
tactics 1
team 9
teams 3
tells 1
tenman 1
test 1
testing 2
than 1
that 4
the 52
their 1
them 4
then 1
they 3
three 2
to 8
trap 1
tunnel 2
tunnels 1
two 1
uncommon 1
unit 1
up 1
upon 1
used 2
uss 1
war 2
was 5
what 2
which 5
while 1
who 1
whom 1
william 1
with 7
world 2
