70375
/m/0j7s8
/m/0j7s8
David Lodge
2001
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
1 1
17 2
18 1
50 1
8 1
a 68
about 11
abroad 1
accepts 1
accommodation 1
accumulation 1
accuse 1
acquired 1
action 1
actually 4
additional 1
adulterer 1
adultery 1
advances 1
affair 9
affiliation 1
after 6
afternoon 1
afternoons 1
afterwards 1
again 1
ages 1
agnew 2
ago 3
agrees 1
albeit 1
all 7
allowed 1
almost 3
already 1
also 7
although 1
amazed 1
ambitious 1
american 1
among 1
an 11
and 62
aneurysm 1
anglia 1
another 3
antiques 1
any 4
anything 4
anyway 1
apart 1
apartment 1
appearances 1
approaching 2
are 4
around 1
arouse 1
aroused 1
arouses 1
arrives 1
art 1
artificial 1
as 16
aside 1
asked 1
at 17
atmosphere 1
attacks 1
attend 1
attends 1
attracted 1
author 2
avoid 1
awarded 1
b 1
back 5
background 1
based 2
bbc 2
be 11
bear 1
beautiful 2
beautifully 1
because 2
beck 1
become 1
bed 1
bedroom 1
been 8
before 1
being 2
belatedly 1
beloved 1
berkeley 1
better 1
between 1
bit 1
blackmails 1
blair 1
blue 1
boasts 1
book 1
books 1
bored 1
boyfriend 1
boys 1
brain 1
breach 1
brief 1
brings 1
buildings 1
burial 1
busy 1
but 9
by 20
called 2
campus 6
can 1
cancer 2
cannot 3
carrie 11
cast 1
catches 1
categorically 1
caters 1
catholic 1
cbe 1
celibate 1
cf 1
challenge 1
change 1
chapters 1
character 1
characters 1
cheating 2
child 1
children 3
class 3
clings 1
close 1
cognitive 2
coincidence 1
coma 1
come 2
comes 2
coming 1
commit 1
commits 1
committed 1
completely 1
concerning 2
concon 1
concretisation 1
conference 4
confidence 1
confides 1
confronted 1
confronts 1
consciousness 1
consequently 1
continue 1
cotswolds 1
could 1
country 2
countryside 1
couple 1
course 2
coverup 1
creative 3
crisis 1
crying 1
curiously 1
curtains 1
daughter 1
dawns 1
day 3
days 1
death 4
decides 1
defence 1
degree 1
delaying 1
delete 1
demand 1
department 2
departments 1
deputy 1
derive 1
describes 1
details 1
detective 1
developed 1
diagnosed 1
die 1
died 1
dinner 1
disapproves 1
discovery 3
discusses 1
disk 2
dismay 1
do 1
documentaries 1
does 7
doing 2
douglass 2
down 2
downloaded 1
dphil 1
drab 1
drawn 1
dreary 1
duck 1
ducks 1
due 3
duggers 1
duration 1
during 9
duties 1
dying 1
each 1
early 2
easier 1
east 1
easy 1
email 1
embarrassing 1
emily 2
emotion 1
empty 1
encounter 1
end 6
endure 1
english 3
enough 1
enters 1
entirely 1
entitled 1
erection 1
escapes 1
even 3
event 1
events 1
eventually 2
every 1
everyone 1
everything 2
examined 1
except 1
exchange 1
exclusively 1
experience 1
explicit 1
explore 1
expose 1
extent 1
eye 2
eyes 1
face 1
fact 1
faculty 1
falling 1
fancies 1
far 1
fascinated 1
father 1
february 1
feelings 1
feels 1
fictitious 1
final 3
finally 3
finds 1
fine 2
finished 1
firm 1
first 5
flight 1
flings 1
focus 1
following 1
follows 1
for 21
forties 1
four 1
free 1
friendly 1
from 13
full 1
function 1
funding 2
fundraising 1
future 1
game 1
garden 1
gatherings 1
gay 1
get 4
gets 1
girl 2
give 1
gladly 1
gloucester 5
gloucestershire 1
go 2
going 4
good 1
gp 1
gradually 1
grieving 1
group 1
had 3
hanging 1
happen 1
happens 2
hard 2
harmless 1
harsh 1
has 18
have 10
having 4
he 25
head 3
heart 1
heel 1
held 1
helen 29
helps 1
henry 1
her 46
herself 7
hide 1
hikers 1
hill 1
him 15
himself 1
his 17
home 2
honouring 1
hope 2
horseshoes 1
hot 2
house 4
houses 1
housewife 1
housewives 1
how 2
however 5
husband 8
idea 1
if 3
illicit 1
immediately 3
in 44
inadvertently 1
indigestion 1
infidelity 1
inform 1
information 1
ingenuity 1
instance 1
instead 1
international 1
internet 2
intimate 2
into 1
intrigued 1
introduced 1
invaded 1
investigation 1
invited 1
involve 1
is 35
it 11
its 3
james 1
jealousy 3
join 1
journal 4
journals 1
just 3
keeping 2
kids 1
kind 1
kinds 1
kiss 3
kissing 1
kitchen 1
knew 1
know 5
knowing 2
knows 2
lake 1
landslide 1
language 1
laptop 1
large 2
late 1
later 2
learn 1
learns 2
least 1
leave 1
ledbury 1
lesser 1
let 1
liaison 1
life 4
light 2
limited 1
lips 1
lisk 2
live 1
liver 1
living 2
located 1
london 3
long 3
look 2
loosely 1
loses 1
loss 1
lot 2
love 2
lovemaking 1
lover 1
lovers 1
loves 1
ludmila 2
lump 1
lunch 1
lust 1
lustful 1
machine 1
made 1
mainly 1
maisonette 1
make 1
makes 2
making 1
male 1
marianne 1
mark 1
marriage 1
married 2
martin 5
material 1
matter 1
may 1
mdash 11
meanwhile 1
meet 1
meets 3
messenger 27
messengers 3
meticulously 1
might 2
mildly 1
ministry 1
modelled 1
moment 2
monstrous 1
more 4
most 1
mother 2
mound 1
move 1
mr 1
much 1
must 1
near 1
needs 1
negative 1
never 6
new 3
next 1
nicholas 1
night 4
no 1
not 16
note 1
novel 5
novelist 1
novels 2
now 1
obvious 1
occurs 1
odd 1
of 62
off 1
officially 1
old 2
on 24
once 2
one 8
onenight 1
only 4
open 1
operated 1
or 6
organizing 1
originally 1
other 3
out 7
outside 1
over 4
own 3
paedophile 1
painful 1
painfully 1
participants 1
particularly 1
partner 1
parts 1
pass 1
passes 1
passionately 1
past 1
perfect 1
perform 1
period 1
perpetrator 1
philandering 1
pickering 2
pictures 1
place 1
places 1
plagiarism 1
planned 1
plants 1
plastic 1
playing 1
pleasure 2
point 5
police 2
policeman 1
polite 1
politician 1
ponders 1
pornography 2
practically 1
prague 1
preceding 1
preferred 1
prefers 1
prehistoric 1
prematurely 1
presence 1
privacy 1
problem 1
problems 1
process 2
professor 3
profit 1
progress 1
promiscuous 1
protest 1
provided 1
pub 2
publishes 2
puzzler 1
question 1
quite 4
race 1
racing 1
ralph 12
rapidly 1
rather 4
read 2
reading 2
real 1
really 2
recent 1
recently 2
recognizes 1
redwood 1
reed 4
refused 1
remains 1
rented 1
reputation 2
researching 1
resemblances 1
reserved 1
residence 1
resist 2
resolves 1
respective 1
respectively 1
responsible 1
restored 1
resumes 1
retreat 1
returns 1
rich 2
richmond 1
right 1
river 1
romantic 1
row 1
rumour 1
said 1
sandra 3
scarlet 1
scenery 1
school 1
science 2
scientist 2
screwed 1
seated 1
secret 3
seduced 1
see 1
seem 1
seems 2
sees 1
select 1
selecting 1
sergeant 1
serious 1
serves 1
set 1
sets 1
several 1
sex 4
sexually 1
she 44
shed 1
should 1
silly 1
silverhaired 1
similar 1
simon 1
since 2
singly 1
sister 1
sitting 1
small 3
so 7
social 2
some 14
somewhat 1
soon 3
sort 1
sorts 1
sound 1
spaces 1
specialising 1
specialist 1
spend 1
spending 1
spends 1
spent 1
spoiled 1
spots 1
spring 2
stand 1
start 1
started 1
states 1
stay 3
stays 1
stepfather 1
stifling 1
still 1
stored 1
storm 1
strongly 1
student 2
students 3
studies 1
studying 1
submits 1
successful 1
succession 1
such 1
sudden 1
suffer 1
suffering 1
suggested 1
suicide 2
sunday 1
sure 1
surgery 1
surrounding 1
suspecting 1
suspicion 2
sussex 1
symposium 1
takes 2
taking 1
tastes 1
teach 2
teaching 1
tear 1
teenage 1
tells 2
temptation 1
term 8
terminal 1
tests 1
than 3
thanks 1
that 28
the 109
their 8
them 3
themselves 1
then 1
there 6
thesis 1
they 7
things 1
thinking 1
thinks 2
this 5
those 1
thoughts 1
threatens 1
three 3
through 1
thrust 1
thurlow 1
thursday 1
time 5
to 63
together 2
toilet 1
told 1
tony 1
top 1
town 1
tries 3
triggers 1
troubles 1
trying 1
tub 1
tuesday 1
turn 3
turns 3
two 4
uc 1
unable 1
uncanny 1
undergo 1
unfaithful 1
unforeseen 1
unit 1
united 1
universities 1
university 7
unmarried 1
unmistakably 1
unspectacular 1
until 1
unwilling 1
up 2
upbringing 1
upon 1
upside 1
usa 1
used 1
very 2
via 1
victory 1
view 2
virtue 1
visiting 1
volunteer 1
volunteers 1
waiting 2
was 2
water 1
way 5
we 2
weather 1
weekend 2
weeks 3
weird 1
well 1
went 1
what 2
when 6
where 1
whether 1
which 6
while 3
who 11
whole 1
whom 2
whose 2
wide 1
widow 1
wife 4
will 1
with 27
witnesses 1
woman 3
womanchaser 1
womaniser 1
womanizer 1
womanizing 1
work 3
worked 1
world 1
would 2
write 1
writerinresidence 1
writes 1
writing 5
year 3
yearold 4
years 1
york 1
you 2
young 3
