3608396
/m/09pnfy
/m/09pnfy
Billie Letts
1995-08-17
7 2
777 1
a 18
about 2
addition 1
afternoon 1
age 1
album 1
alcoholic 1
also 2
american 1
and 14
ann 1
any 1
appears 1
are 2
as 6
ask 1
at 7
baby 3
bad 1
bag 1
baseball 1
basket 1
beach 1
beat 1
becomes 3
benny 1
bible 1
books 2
boyfriend 1
breaks 1
brother 1
buckeye 4
but 3
california 1
can 1
car 1
care 1
change 1
chapters 1
college 1
comes 1
convinces 1
could 1
crazy 1
deep 1
describes 1
drop 1
else 1
facts 1
faith 1
family 1
famous 1
fell 1
find 1
finds 1
first 1
floor 1
for 4
forced 1
forney 3
fred 1
friend 1
from 4
girl 1
give 1
gives 2
go 1
good 2
goodluck 1
had 2
hands 1
has 4
have 1
he 3
helps 2
her 12
hers 1
his 1
home 1
hospital 1
house 1
hull 1
husband 5
if 1
in 8
invested 1
is 3
jack 3
kind 1
later 1
left 1
letts 1
librarian 1
library 1
lives 1
local 1
lot 1
luck 1
lucky 1
makes 1
mean 1
meet 1
meets 5
mentor 1
mistakes 1
months 1
more 2
moses 2
most 1
mother 1
mott 1
name 1
named 2
nation 1
native 1
new 1
news 1
not 1
nothing 1
novalee 17
novel 1
nowhere 1
number 1
of 9
off 1
oklahoma 1
on 1
opens 1
out 5
overweight 1
pair 1
people 2
photo 1
photographer 1
photography 1
plant 1
portraits 1
pounds 1
pregnant 1
property 1
purchase 2
ran 1
read 1
realizes 1
relationships 1
restroom 1
runs 1
ruth 1
sandals 2
sequoyah 1
seven 1
sevens 2
seventeen 1
she 14
shoots 1
shouts 1
sick 1
sister 6
so 1
something 1
spends 1
spunky 1
stop 1
superstitious 1
take 1
takes 2
tells 1
tennessee 1
than 1
that 2
the 20
their 1
then 1
they 1
thirtyseven 1
this 1
through 1
time 2
times 1
to 12
told 1
town 1
traveling 1
tree 2
umpire 1
up 1
use 1
visit 1
wagon 2
walk 2
walmart 7
was 1
watches 1
welcome 3
well 1
wellbred 1
when 2
where 1
whitecotton 1
who 5
will 1
willy 3
window 1
with 5
withstand 1
woman 1
