5370904
/m/0dhw23
/m/0dhw23
Ian Rankin
2001
{"/m/0lsxr": "Crime Fiction", "/m/028v3": "Detective fiction", "/m/05hgj": "Novel", "/m/02n4kr": "Mystery", "/m/0c3351": "Suspense", "/m/02xlf": "Fiction"}
1th 1
a 5
act 1
after 1
all 2
already 1
always 1
an 2
and 4
are 3
art 2
as 3
asked 1
at 1
be 1
before 1
big 1
bodysnatchers 1
brought 1
brutal 1
cafferty 2
case 2
cases 1
century 1
chance 1
circumstances 1
clarke 1
closer 1
college 1
cup 1
days 1
dcs 1
dealer 2
death 1
detective 1
ds 1
edinburgh 2
ever 1
expected 1
for 3
friends 1
gangster 1
ger 1
gill 1
given 1
gobetween 1
have 1
he 2
hidden 1
him 1
his 2
in 2
inquiry 1
inspector 1
involved 1
is 7
john 1
just 1
keep 1
known 1
last 1
linked 1
many 1
men 1
murder 1
murdered 1
must 1
newly 1
of 6
off 1
officers 1
on 1
one 1
or 1
out 1
own 1
police 1
promoted 1
put 1
rebus 3
reference 1
resurrection 1
resurrectionists 1
retraining 1
roman 1
saloon 1
scottish 1
secrets 1
sent 1
she 1
similar 1
siobhan 1
svbotgrarna 1
tea 1
team 2
templer 1
than 1
that 1
the 11
their 1
they 3
this 2
throwing 1
thrown 1
title 1
to 8
together 1
trusted 1
truth 2
turns 1
uncover 1
uncovers 1
unsolved 1
use 1
were 1
which 1
while 1
who 1
wish 1
with 1
work 1
working 1
