4257657
/m/0bsrb8
/m/0bsrb8
Roger Zelazny
1976
182 1
a 11
abilities 1
about 2
absence 1
accretions 1
after 4
agency 1
air 1
akin 1
alcoholic 1
alice 5
alike 1
alleged 1
also 1
america 1
ample 1
an 4
and 12
angerdriven 1
animal 1
another 1
are 2
argument 1
armless 1
artificial 1
artist 1
as 4
ask 1
at 2
based 2
be 1
been 2
belief 1
believes 1
between 1
big 1
birds 1
blood 2
bloody 1
book 1
brain 1
but 2
by 3
c 1
carleton 1
catholic 1
caused 1
challenged 1
charlotteville 1
christian 2
christians 1
church 1
commissioned 2
communications 1
companion 1
compared 2
congregations 1
consciousness 1
constricted 1
consumes 1
creator 1
cyborg 1
daughter 1
death 3
debates 1
decaying 1
decisive 1
deity 1
demiurge 1
derives 1
destruction 1
detonator 1
deus 1
devastating 1
development 1
devil 1
diminishing 1
disability 1
divinity 1
does 1
dying 1
earthbound 1
eden 1
elderly 1
elements 1
en 1
encounter 1
energy 1
equivalent 2
erdausa 1
events 1
evil 1
evolved 1
exchairman 1
existence 1
experience 1
experienced 1
face 1
faith 2
fallout 1
featured 1
finally 1
find 1
fog 1
for 5
forehead 1
from 4
garden 2
german 1
gnostic 1
gnosticism 1
god 2
godhood 1
has 4
have 2
he 4
helps 1
her 3
higher 1
his 8
history 1
however 2
human 2
humans 1
implies 1
imprint 1
in 5
insects 1
institutions 1
intellectually 1
intelligence 1
interpretations 1
into 1
irae 1
is 12
it 2
its 2
itself 1
judaeochristian 1
keeps 1
knowledge 1
known 1
knows 1
later 1
latin 1
leadership 1
leading 1
learn 1
leaving 2
left 1
legends 1
legless 1
levels 1
lifting 1
like 1
likeness 2
lives 1
lizards 1
looks 1
loses 1
loss 1
luft 1
lufteufel 10
may 2
mcmasters 4
meaning 2
members 1
messianic 1
mural 4
mutant 1
mutations 1
mythological 1
name 1
national 1
new 1
no 1
nobody 1
not 3
nuclear 2
of 29
often 1
omnipotent 1
on 2
only 3
or 3
other 1
paint 2
palm 1
passing 1
peace 1
perception 1
pete 1
phocomelus 1
point 1
populations 1
prominently 1
radiation 1
related 3
religion 2
religious 1
remaining 1
remove 2
removing 1
research 1
route 1
saint 1
seekers 1
sees 1
sentience 1
servants 5
she 1
shirt 2
shrapnel 1
shroud 2
some 1
sows 1
speak 1
spirit 2
states 1
survival 2
survived 1
survivor 1
survivors 1
sustain 1
systems 1
tacit 1
teufel 1
that 5
the 31
their 1
theophany 1
there 2
this 3
though 1
tibor 1
to 14
trace 1
traditional 1
tree 1
tricked 1
tries 1
true 1
trying 1
turin 1
ultimate 1
united 1
using 1
vagrant 1
valid 1
veronica 1
vision 1
visions 1
visited 1
war 3
warfare 1
we 1
weapon 1
well 1
what 1
where 1
which 5
while 1
who 2
whose 1
widespread 3
with 2
words 1
world 1
worship 1
wrath 7
