106353
/m/0qmgb
/m/0qmgb
Ernest Thompson
1979
13yearold 1
80th 1
a 7
about 2
ads 1
agree 2
along 1
and 14
are 3
arrive 1
arrives 2
as 1
asks 1
at 1
attack 1
august 1
be 1
become 1
becomes 1
bill 1
billy 7
birthday 1
bit 1
bitterly 1
box 1
boyfriend 1
but 1
by 1
california 2
calls 1
can 1
celebrate 1
chagrin 1
charlie 1
chelsea 8
china 1
classified 1
clearer 1
coming 1
confronts 1
continues 1
date 1
daughter 1
effort 1
ethel 5
europe 1
familiar 1
father 1
find 1
finding 1
fishing 1
for 1
forget 1
friends 1
from 2
go 2
golden 1
habit 1
harping 1
have 2
having 1
he 2
heart 1
heavy 1
her 5
hints 1
his 3
home 1
house 1
if 1
impatience 1
in 3
is 3
it 2
job 1
jr 4
july 1
june 1
keep 1
leave 2
letter 1
loss 1
mailman 1
makes 1
married 1
may 1
memory 2
motherinlaw 1
much 1
names 1
need 1
nominal 1
norman 9
now 1
of 4
on 1
packing 1
pair 1
parents 1
past 1
picking 1
places 1
pond 1
problems 1
ray 2
reconciliation 1
recovers 1
relationship 1
reluctantly 1
reminisces 1
repairs 1
returns 1
reveals 1
saying 1
seems 1
september 1
she 3
should 1
shows 1
son 1
spend 1
stay 1
stops 1
struggling 1
suffer 1
summer 1
that 5
thayer 1
the 8
their 3
them 1
there 1
they 1
time 1
to 10
troubled 1
two 1
up 1
used 1
visit 1
while 1
whilst 1
whom 1
winter 1
with 6
