1385549
/m/04yc_m
/m/04yc_m
Sidney Sheldon
1970
{"/m/01jfsb": "Thriller", "/m/02xlf": "Fiction"}
a 6
after 1
also 1
and 4
anger 1
annie 1
are 1
as 1
because 1
before 1
brutally 1
by 1
caring 1
carol 1
case 2
demarco 1
done 1
down 1
dr 1
due 1
face 1
fall 1
first 1
for 1
found 1
hanson 1
have 1
he 1
him 1
hires 1
his 2
homosexuality 1
horrific 1
in 2
innocence 1
investigator 1
is 5
john 1
judd 1
kill 1
killer 1
life 1
limb 1
long 1
love 1
manhattan 1
md 1
mistaken 1
moody 1
murdered 2
must 1
mysterious 1
name 1
named 1
norman 1
not 1
of 1
overcome 1
partly 1
patient 2
perhaps 1
police 1
possible 1
previous 1
prime 1
private 1
prospect 1
prove 1
psychoanalize 1
psychoanalyst 1
quick 1
real 1
risk 1
roberts 1
secretary 1
someone 1
stevens 7
successful 1
suspect 1
suspects 1
testimony 1
the 5
to 5
track 1
treat 1
trying 2
was 1
who 1
will 1
with 2
z 1
