1422844
/m/0509fw
/m/0509fw
Ernest Hemingway
1986
{"/m/02xlf": "Fiction"}
a 1
affair 1
american 1
an 2
and 3
apparent 1
begins 1
both 1
bourne 1
bournes 1
but 1
camargue 1
can 1
catherine 2
continues 1
cte 1
david 3
dazur 1
deteriorates 1
fall 1
five 1
french 1
fundamentally 1
have 1
her 1
his 3
honeymoon 1
in 6
is 2
it 1
lives 1
love 1
mainly 1
marita 2
meet 1
months 1
named 1
novel 1
of 3
one 1
only 1
relationship 1
riviera 1
separation 1
set 1
soon 1
spain 1
specifically 1
starts 1
story 3
the 10
their 1
they 1
ultimately 1
until 1
while 1
whom 1
wife 2
with 4
woman 1
writer 1
young 1
