11608770
/m/02rlf5t
/m/02rlf5t
Mary Wollstonecraft

5000 1
a 16
aborts 1
about 1
actuality 1
after 5
agrees 1
already 1
also 2
always 1
an 5
and 17
another 1
appreciation 1
apprentice 1
arranged 1
arts 1
as 4
asylum 5
at 2
attempts 1
attendant 1
attendants 1
away 1
bankrupted 1
bastard 1
beat 1
became 3
become 1
becomes 2
been 2
befriend 1
begin 1
begins 1
books 1
born 1
bound 1
breaks 1
bring 1
but 4
by 4
chapters 1
character 2
child 5
children 1
communicate 1
completed 2
condemned 1
continent 1
convince 1
couple 1
cultivating 1
darnford 3
daughter 1
death 1
debauched 1
deceased 1
despotically 1
died 2
different 1
discovers 1
dissolute 1
doctors 1
dowry 1
drinking 1
eldest 1
encounters 1
england 1
escape 1
escapes 1
eventually 1
everyone 1
explaining 1
explains 1
fails 1
falls 1
family 1
father 3
fell 1
few 1
finds 1
fond 1
for 4
forced 1
fortune 1
fourteen 1
friends 1
from 2
gambled 1
gave 1
gentleman 1
george 2
greater 1
had 1
half 1
has 6
have 3
he 10
heavy 1
henry 1
her 27
herself 1
him 4
himself 1
his 6
home 1
honourable 1
house 2
housekeeper 1
how 2
husband 4
husbands 2
ignore 1
impoverished 1
imprisoned 1
imprisonment 1
imprisons 1
in 13
increasingly 1
infant 1
initially 1
inmate 1
insane 1
is 5
jemima 4
keeping 1
later 1
learned 1
leave 2
leaving 1
left 1
libertine 1
life 4
literature 1
live 2
locations 1
love 2
loved 1
lowerclass 1
mad 1
making 1
man 2
manages 2
manuscript 2
marginalia 1
maria 16
marriage 1
master 1
medias 1
meet 1
mistress 1
more 1
mother 3
mr 1
named 1
narrative 1
neighbour 1
newborn 1
night 1
not 2
notes 1
now 1
of 13
off 1
often 1
one 2
only 1
other 2
out 2
over 1
own 1
point 1
position 1
precarious 1
pregnant 2
presented 1
prostitute 1
quickly 1
raped 1
realizing 1
relates 1
release 1
res 1
respectable 1
reveals 1
rich 1
right 1
robert 1
ruled 1
s 1
scribbled 1
seizes 1
sell 1
separate 1
servant 1
seven 1
several 1
sexual 1
she 13
siblings 1
social 1
some 1
son 2
soon 1
starved 1
still 1
story 2
support 1
taken 1
tells 2
than 1
that 6
the 21
their 5
them 2
therefore 1
these 1
this 1
through 1
thrown 1
to 19
took 1
tried 1
tries 2
true 2
two 1
unable 2
unaware 1
uncle 3
unhappy 1
unjust 1
untenable 1
unwanted 1
up 1
upperclass 1
venables 5
via 1
visited 1
waking 1
was 5
when 3
where 1
while 1
who 4
whored 1
wife 1
with 7
woman 2
women 2
worse 1
written 1
wronged 1
wrongs 1
young 1
