86928
/m/0ly6j
/m/0ly6j
Iris Murdoch
1961
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
41yearold 1
a 9
academic 1
affair 3
afterwards 1
again 1
alexander 1
all 1
alone 1
also 1
an 1
and 2
anderson 2
anthropology 1
antonia 2
arrow 1
as 1
at 3
attributes 1
be 1
become 1
bed 1
been 2
being 1
blue 1
breaks 1
brother 1
but 1
called 2
cambridge 2
childless 1
chooses 1
companion 1
confesses 1
constant 1
convenience 1
could 1
couple 1
cupid 1
despite 1
didnt 1
disintegrating 1
displaying 1
does 1
each 1
end 1
engaged 1
ever 1
falls 1
find 1
finding 1
first 1
follows 1
for 4
friend 1
georgie 2
going 1
guessed 1
had 1
halfbrother 1
halfsister 1
has 3
have 1
he 6
her 7
him 4
his 7
hits 1
honor 1
house 2
however 1
immoral 1
in 5
into 1
introduced 1
is 4
it 1
klein 1
know 1
leave 1
lecturer 1
let 1
life 1
like 1
london 1
love 1
lynchgibbon 5
macho 1
man 1
marriage 1
martin 1
mean 1
merchant 2
middle 1
moves 1
must 1
mustand 1
never 1
night 1
not 1
number 1
occurs 1
of 6
older 2
on 2
one 1
ongoing 1
only 1
other 1
out 2
palmer 1
possessed 1
psychoanalyst 1
publicize 1
quite 2
rather 2
realizes 1
relationships 1
remembers 1
repulsive 1
roughly 1
same 1
secret 1
seeing 1
she 3
shocked 1
shortly 1
since 1
sleeping 1
some 1
somehow 1
starts 1
still 1
surely 1
tells 1
than 1
that 4
the 7
their 1
them 1
this 1
time 4
to 9
want 1
welltodo 1
when 2
whisky 1
who 2
whom 1
whose 1
wife 1
willgo 1
wine 2
with 6
woman 2
women 1
world 1
you 3
young 1
