8837068
/m/027lf_b
/m/027lf_b


{"/m/0dwly": "Children's literature"}
a 15
ability 1
able 1
about 2
after 1
aggravating 1
all 2
also 4
an 1
and 18
appalling 1
apprentice 1
are 5
area 3
armed 1
arun 3
as 2
asks 1
at 1
autonomous 1
away 1
back 1
become 1
becomes 1
begin 1
being 1
believe 1
better 1
bid 1
blackheath 1
blastburn 2
boys 1
breakdown 2
but 2
by 1
call 1
called 2
captured 1
cat 1
cavern 1
character 1
children 6
coalface 1
coalmine 1
coalmines 1
collapse 1
collective 1
comes 1
communication 1
companion 1
conditions 1
consult 1
continues 1
continuing 1
country 3
cousin 1
cry 1
david 1
dead 1
derelict 2
dictator 1
dido 2
die 1
discover 1
discovers 3
doctor 1
dr 1
edge 1
ends 1
england 1
enslaved 2
escape 2
escaped 1
escapes 1
eventually 1
excuse 1
experiencing 1
express 2
figgin 1
for 5
freedom 1
friends 3
from 4
front 1
full 1
going 1
guide 1
halfsister 1
has 3
he 2
help 2
her 10
here 2
herself 1
his 3
holdernesse 1
hone 1
iii 1
in 13
including 2
into 3
introduced 1
investigations 1
is 17
it 1
james 1
killed 1
king 2
lead 1
leader 1
learning 1
learns 1
left 2
lemman 2
liberty 1
library 1
life 1
live 1
living 1
local 1
london 4
look 1
lost 1
makes 1
man 1
means 1
meanwhile 1
medicine 1
meets 2
mental 1
mentally 1
mine 2
missing 2
more 1
most 1
natural 1
near 1
new 3
north 1
now 2
occasionally 1
of 13
off 1
old 1
older 1
on 2
only 1
organise 1
other 3
over 1
overground 1
own 1
pa 1
part 1
penelope 1
penny 1
people 1
playland 2
predictions 1
presence 1
previously 1
psychic 2
quick 1
reaches 1
recently 1
recovered 1
relative 1
relatives 1
remains 1
residents 1
roy 4
running 1
runs 1
save 1
search 2
secret 1
see 1
sent 1
set 1
she 11
sister 1
some 1
something 1
son 3
sort 2
spiriting 1
split 1
stranger 1
successful 1
suffered 1
suspicions 1
taken 2
takes 1
taking 1
talent 1
talk 1
task 1
that 7
the 33
their 1
them 1
there 1
they 4
third 1
this 3
through 1
tidal 1
time 1
to 18
together 1
touch 2
town 3
train 1
travels 2
twite 2
uncle 4
underground 2
unsuspected 1
up 1
vast 1
voice 1
wave 1
way 1
when 3
whilst 1
who 4
whose 1
wild 1
will 1
wit 1
with 9
wolves 1
work 2
