25139850
/m/09gn1wf
/m/09gn1wf
Don Roff
2009-09

12 1
2012 2
28 1
5 1
7 1
a 16
about 1
account 1
accumulated 1
additive 1
affecting 2
after 3
alive 2
all 1
although 3
an 5
and 19
any 1
apparently 1
appears 1
approximately 1
are 2
around 2
artistry 1
as 9
at 2
attempting 1
author 1
bashes 1
be 1
before 1
begin 1
beginning 1
behavior 1
beleaguered 1
beyond 1
bioaccumulative 1
birds 1
blood 1
both 1
brief 1
bucolic 1
burned 1
but 1
by 3
cabin 1
called 1
candor 1
catastrophe 1
cause 1
central 1
chemical 1
churchill 2
city 1
clinicallydead 1
clippings 1
come 1
comes 1
commerce 1
company 1
confirm 1
consciousness 1
contact 1
couple 1
critical 1
cut 1
describes 1
destroying 1
detail 2
detailing 2
devour 1
diary 1
diarystyle 1
did 1
die 1
direct 1
document 2
does 1
down 2
dr 2
drawn 1
effect 1
entire 1
entry 3
escape 1
even 1
events 1
eventually 1
evidence 1
exhibiting 1
existences 1
explains 1
explanation 1
explored 1
extensively 1
extents 1
false 1
farm 2
final 1
finally 1
finds 1
first 2
firsthand 1
following 1
food 1
for 3
forced 1
fortified 1
found 2
from 2
further 1
generate 1
glimpses 1
global 2
gm 1
had 1
haematology 1
hands 1
has 1
have 1
he 4
headlines 1
him 1
his 5
hold 1
however 1
identical 1
images 2
importance 1
in 3
inconclusive 1
indicates 1
individual 1
individuals 1
infected 1
infection 5
initial 1
inn 1
interaction 1
internet 1
into 1
is 6
isolated 1
its 2
january 3
journal 2
keeps 1
knowledge 1
lasting 1
later 1
length 1
level 1
limitations 1
limiting 1
logical 1
machine 1
made 1
makes 1
manitoba 2
march 1
married 1
massscale 1
medical 1
meeting 1
midword 1
mixing 1
move 1
much 2
narration 1
narrative 1
necrotic 1
new 1
newspaper 1
nineteen 1
nobody 1
northward 2
not 1
notes 2
now 1
objects 1
occasionally 1
of 17
off 1
office 1
official 1
on 2
oncology 1
one 2
other 2
outbreak 2
overrun 1
overwhelming 1
painted 1
pandemic 2
partially 1
pathogen 1
permitted 1
person 1
presumably 1
prevalence 1
previous 1
primodyne 1
prologue 1
provide 1
purported 1
quickly 1
reanimate 1
reanimated 1
reanimation 1
referred 1
referring 1
relating 2
remote 1
reports 1
robert 1
scale 1
seattle 1
secure 1
seemingly 1
short 1
show 1
showing 1
shut 1
sick 1
sketches 1
slight 1
slowly 1
small 1
some 1
spatter 1
specialist 1
speed 1
spends 1
still 1
story 1
stream 1
strengths 1
subsiding 1
such 1
sudden 2
survival 1
survivors 2
suspicions 1
symptoms 1
talks 1
technique 1
tests 1
that 3
the 30
their 1
them 1
they 2
those 2
thousands 2
threat 1
time 1
to 11
town 2
township 1
toxicity 1
travel 1
twombly 5
twomblys 1
undead 2
undetectable 1
unfolding 1
unique 1
unknown 2
until 1
used 1
utilizes 1
varying 1
vending 1
walk 1
walking 1
was 1
washington 1
way 1
well 2
were 2
when 1
where 1
which 1
while 1
who 1
with 6
witnessing 1
world 2
worldwide 1
year 1
zombie 2
zombies 4
