3311086
/m/094xpq
/m/094xpq
Terry Bisson

a 4
about 1
adventure 1
after 2
amidala 1
and 6
are 2
as 2
at 1
aurra 1
bad 1
battle 1
belongings 1
boba 5
book 5
bounty 2
by 1
clone 1
collect 1
complications 1
count 2
crucial 1
dad 1
death 1
dies 1
dooku 2
employer 1
end 1
explored 1
father 10
feeling 1
fett 2
finally 1
find 1
for 4
from 1
gave 1
geonosis 1
get 1
getting 1
goacles 1
guide 1
happens 1
he 5
help 1
him 5
his 13
hunter 1
ideas 1
in 1
including 1
inner 1
is 2
jango 2
jealousy 1
jedi 2
killed 1
like 1
love 1
luck 1
mace 1
mainly 1
master 1
meets 1
mother 1
not 1
of 3
on 3
open 1
opens 1
owed 1
padm 1
place 1
put 1
questioning 1
recordings 1
revenge 1
searches 1
sing 1
so 1
something 1
string 1
suffers 1
takes 1
tell 1
that 1
the 10
there 1
this 1
to 5
told 1
troopers 1
unless 1
uses 1
what 1
where 1
while 1
who 2
windu 1
with 1
works 1
yearning 1
