1169626
/m/04d3jj
/m/04d3jj
Karin Lowachee
2002-04-01
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
200 1
782843440885 1
a 11
aaianna 4
accepts 1
act 1
after 2
aid 1
alien 1
aliens 1
along 1
an 2
and 15
apply 1
are 3
arranges 1
as 2
ashdan 1
assassinpriest 1
assigned 1
at 4
attack 2
attacked 1
attackers 1
attempts 2
austo 1
azarcon 3
back 2
bad 1
battles 1
be 1
been 2
being 2
between 3
blial 1
boarded 1
brother 3
but 1
by 7
cairo 1
called 2
captain 3
captured 4
caste 1
chaos 2
children 2
connection 1
crew 2
cunning 1
death 1
deck 2
deep 1
destroy 1
die 1
dilva 1
discovers 2
distinctions 1
dock 1
docks 1
during 1
earthhub 3
eight 1
elite 1
encountering 1
encounters 2
end 1
ends 1
escape 1
escapes 1
especially 1
evan 1
eventually 2
exchange 1
face 1
facilities 1
falcone 8
february 1
for 3
formally 1
former 1
fourteen 1
french 1
friends 1
from 1
geghis 1
genghis 1
ghengis 2
good 2
gradually 1
had 1
handful 1
have 1
he 9
helps 1
hiding 1
him 2
his 11
home 1
homeworld 1
hostage 1
how 1
however 2
hub 2
human 3
in 5
infamous 1
intention 1
interrogated 1
is 18
isbn 1
it 1
its 1
join 1
jos 13
joslyn 1
karedan 2
keeps 1
khan 5
le 1
leader 1
liaison 1
like 1
located 1
longer 1
looks 1
macedon 9
made 2
making 1
manners 1
marcus 1
mates 1
meeting 1
member 1
merchant 1
most 1
movement 1
mukudori 2
musey 1
negotiate 1
nikolas 1
no 1
notorious 1
novel 1
of 7
off 1
officer 1
old 1
on 12
once 1
one 1
only 1
or 1
other 2
over 1
parents 1
part 1
peace 1
people 1
pirate 5
pirates 2
place 1
planet 1
point 1
police 1
previous 1
prisoners 1
protection 1
protg 1
race 1
release 1
rescues 1
revealed 1
ruling 1
sent 1
ship 9
ships 2
shot 1
shows 1
space 1
spacecarrier 1
spy 1
spying 1
stabs 1
starts 1
station 4
stlian 1
story 1
strits 1
striviircna 1
striviiricna 2
suddenly 1
sympathizer 1
sympathizers 1
taken 2
takes 1
taught 1
teaches 2
that 5
the 49
them 1
then 3
through 1
time 1
to 17
told 1
tracking 1
trading 1
trained 1
transported 1
treaty 2
under 1
unit 1
until 1
up 1
vicious 1
vincenzo 1
war 2
warboy 8
warchild 1
way 1
weapons 1
when 4
which 5
who 4
win 1
with 9
year 1
