840204
/m/03f_26
/m/03f_26
Robin Hobb
1997
a 13
ability 1
able 2
abstractly 1
actually 1
adventures 1
after 3
against 1
aids 1
alive 3
all 3
almost 2
along 1
an 1
and 30
another 2
appearing 1
are 4
as 3
assassin 1
assassination 1
at 1
attacked 2
attempt 1
avoid 1
away 3
back 2
bare 1
barely 1
battle 1
be 4
beating 1
becoming 1
been 1
before 1
beginning 1
begins 2
being 1
believe 3
believes 1
beloved 1
between 1
beyond 1
birth 1
black 1
body 1
bond 1
book 2
books 1
bring 2
bringing 1
buckkeep 1
burrich 4
but 5
by 6
can 2
care 1
carved 2
carves 1
carving 1
castle 1
central 1
chade 1
change 1
claiming 1
come 2
comes 1
command 3
companion 1
complete 1
continue 2
continues 2
coterie 1
dark 1
daughter 1
dead 5
dear 1
decides 1
deepen 1
departs 1
desire 1
despised 1
despite 1
determines 1
different 1
discovers 2
disobey 1
distance 1
dragon 6
dragons 3
driven 1
dungeons 1
during 3
dutiful 1
each 1
emotions 2
encounter 1
end 2
ending 1
enough 1
entire 1
era 1
errand 1
escape 1
even 2
events 2
eventually 2
everyone 1
everything 2
fact 1
fails 1
far 1
farseer 4
fierce 1
fight 1
figure 1
finally 2
find 1
finds 1
fitz 22
fitzchivalry 3
flies 1
follow 1
followed 1
following 1
fool 9
for 1
foreseen 1
forged 2
former 1
found 2
friend 1
friends 1
from 1
full 1
future 1
gain 1
garden 1
get 1
girl 1
give 1
given 1
gives 2
go 1
great 1
guard 1
guise 1
had 1
happy 1
has 4
have 1
having 1
he 10
health 1
heart 1
help 1
her 2
him 4
himself 1
his 20
hobb 1
holds 1
hope 1
how 1
human 1
humanity 1
if 1
immediately 1
imprints 1
in 12
including 1
insists 1
into 1
intrude 1
is 18
it 4
journey 3
keep 1
kettle 4
kettricken 2
kill 1
killed 1
king 2
kingdom 3
know 1
last 1
later 1
leading 1
led 1
left 1
lets 1
life 3
like 1
lives 2
liveship 1
living 1
long 2
loses 1
lover 1
loyalty 1
magic 1
make 1
makes 1
man 2
married 1
may 1
mdash 1
me 1
meet 2
member 1
memories 1
memory 1
mere 1
mind 2
minimum 1
minstrel 1
molly 3
more 5
most 1
mountain 3
moving 1
named 2
naming 1
narrative 1
needs 1
nettle 1
nighteyes 3
noble 1
not 4
novel 1
now 2
of 18
off 1
old 1
on 5
one 4
only 3
other 1
others 1
out 1
overcome 1
pack 1
past 1
path 1
peace 1
people 1
period 1
personal 1
pin 1
placed 1
plan 1
pregnant 2
present 1
prince 1
process 1
prophet 3
qualities 1
queen 1
quest 2
raiders 3
raised 1
reaches 1
realizes 1
really 1
recognizes 1
record 1
red 1
referred 1
regaining 1
regal 3
rejoices 1
remaining 1
remains 1
retires 1
revealed 1
reveals 1
rotted 1
royal 2
save 1
see 1
seeking 1
seen 1
sense 1
series 2
set 2
she 3
ship 1
shirt 2
shrewd 1
skill 2
sleeping 1
so 2
span 1
spectacularly 1
spent 1
starling 3
starts 1
statues 1
steals 1
stole 1
stone 3
successfully 1
survived 1
taking 1
tawny 2
tended 1
than 1
that 8
the 59
their 4
them 4
themselves 1
therefore 1
they 5
think 1
thinks 2
this 1
those 1
through 1
time 2
to 39
together 1
took 1
tortures 1
traders 1
traveling 1
travelling 1
trilogy 4
truth 1
turn 1
unable 1
under 1
unknown 1
upon 1
using 1
verity 6
verityasdragon 1
visions 1
wake 1
wants 1
warriors 1
way 2
were 1
which 3
while 1
white 3
who 4
whom 2
wife 1
will 1
wit 3
with 7
witness 1
wolf 4
woman 1
yet 1
