2511857
/m/07k07v
/m/07k07v
David Drake
1984-08-23
{"/m/0mz2": "Alternate history", "/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 15
ability 1
accompanied 1
act 1
actually 1
affairs 2
agency 1
agent 1
aliens 1
allow 1
almost 1
along 1
an 6
anatolia 1
ancient 1
and 9
any 2
are 6
arrive 1
as 5
asked 1
association 1
at 5
aulus 7
authority 1
back 2
bald 1
be 3
been 1
before 1
beginning 1
behest 1
beset 1
best 1
biological 1
bomb 1
book 2
bred 1
bureau 6
but 2
by 5
calvus 8
cats 1
cavalry 1
cilicia 1
clear 1
clueless 1
coming 1
control 1
cooperation 1
creatures 1
creche 2
creches 1
critical 1
dashing 1
deepcover 1
desperate 1
destroy 1
destroying 1
destroys 1
did 1
different 1
dinosaurs 1
direct 1
displacement 1
distant 2
do 1
dronelike 1
drydock 1
effect 1
emerged 1
emperor 2
empire 2
en 1
end 1
enough 1
episode 1
evolved 2
experience 1
extinct 1
far 2
female 1
figure 1
for 6
from 4
future 2
gadgets 1
gaius 2
greater 1
handful 1
has 6
have 1
he 1
head 1
her 5
herself 1
him 2
hints 3
his 1
how 1
human 2
humanity 1
humans 2
imperial 2
in 7
including 1
incredibly 1
induced 1
influence 1
intelligence 1
into 3
invoking 1
is 5
issue 1
it 1
its 1
journey 1
just 1
learns 1
life 2
limited 1
makes 1
male 1
matter 2
mdash 3
measure 1
mentor 1
middleaged 1
millions 1
mission 2
monstrous 1
multiplied 1
mutually 1
name 1
named 1
never 1
not 1
novel 1
nuclear 1
odd 1
odenath 1
of 28
officer 1
on 3
one 1
only 3
operation 1
operative 1
or 2
ordered 1
orders 2
ordinary 1
other 4
ourselves 1
out 2
outfitted 1
over 1
own 1
part 2
particular 1
parties 1
past 2
perennius 1
phase 1
pirates 1
preparation 1
presence 1
process 1
proper 1
protg 1
provide 2
pull 1
race 2
rather 1
relates 1
requested 1
requesting 1
roman 1
rome 1
route 1
sabretoothed 1
seed 1
selfdestructing 1
sent 2
separation 1
serves 1
service 2
services 1
set 1
she 5
siblings 2
side 1
sisters 4
six 2
slim 1
so 1
some 1
somewhat 1
son 1
sort 1
sorts 1
southern 1
specially 1
statement 1
sterile 1
storage 1
story 4
strong 2
such 1
summoned 1
support 1
take 1
taken 1
takes 1
tall 1
technically 1
technology 1
telepathic 1
tendency 1
than 1
that 5
the 48
their 2
then 1
there 1
thermal 1
they 1
thinking 1
this 1
though 1
thoughts 1
through 1
time 4
timetravel 1
to 16
together 1
trip 1
trireme 1
uncommon 1
under 1
underground 1
unfortunate 1
unintentional 1
unspecified 1
up 1
urgent 1
was 1
way 1
weapon 1
weapons 1
which 2
who 1
with 3
without 1
young 1
